GENE	CHR	START	END	BEST.GWAS.ID	BEST.GWAS.Z	NSNP	MODEL	TWAS.Z	TWAS.P
DOCK5	8	25184723	25418082	rs1510758	4.77	170	top1	4.772571	1.82e-06
GSR	8	30678061	30727926	rs9649911	-8.15	155	lasso	7.117533	1.1e-12
PURG	8	30995802	31033715	rs9649911	-8.15	134	blup	8.272317	1.31e-16
TOX	8	58805418	59119208	rs2063103	4.62	147	blup	-5.28055	1.29e-07
ZHX1-C8orf76	8	123226189	123274284	rs7821932	9.88	164	top1	-4.98249	6.28e-07
HACD4	9	20999515	21031636	rs523096	-30.95	161	enet	21.40423	1.22e-101
GCNT1	9	76419850	76507416	rs10869665	-8.51	205	blup	6.05515	1.4e-09
PBX3	9	125747345	125967377	rs10448285	-20.48	143	blup	8.13814	4.01e-16
MVB12B	9	126326849	126507041	rs10448285	-20.48	143	top1	9.3758	6.87e-21
FAM102A	9	127940579	127980513	rs2297866	10.09	89	top1	6.21902	5e-10
ENDOG	9	128818474	128822677	rs2997922	5.76	122	blup	-6.41908	1.37e-10
NRBF2	10	63133247	63155031	rs6479909	6.24	123	top1	5.03466	4.79e-07
EIF5AL1	10	79512601	79516440	rs2282367	-8.57	183	top1	7.00886	2.4e-12
RP11-182L21.6	10	79825902	79827602	rs2282367	-8.57	186	blup	-6.00406	1.92e-09
CYP26C1	10	93060808	93069536	rs6583867	9.06	150	lasso	-5.98789	2.13e-09
CYP26A1	10	93073475	93077890	rs6583867	9.06	150	top1	-5.98789	2.13e-09
HELLS	10	94501434	94613905	rs4918188	9.39	140	top1	4.77186	1.83e-06
WNT8B	10	100463041	100483744	rs11190581	-5.36	127	top1	5.0186	5.2e-07
SEC31B	10	100486642	100519864	rs11190581	-5.36	125	top1	4.91941	8.68e-07
RP11-411B6.6	10	100505628	100529881	rs11190581	-5.36	123	top1	4.91941	8.68e-07
RP11-179B2.2	10	100911103	100912739	rs11190581	-5.36	98	top1	-4.87624	1.08e-06
SLF2	10	100912569	100965136	rs11190581	-5.36	103	top1	4.87624	1.08e-06
BTRC	10	101354033	101557321	rs11190581	-5.36	109	blup	-5.43684	5.42e-08
CCDC172	10	116324428	116380029	rs1681743	6.65	128	top1	6.65195	2.89e-11
METTL10	10	124748149	124791870	rs11245366	-6.97	159	lasso	-5.253	1.5e-07
FAM175B	10	124801785	124836670	rs11245366	-6.97	156	top1	6.35253	2.12e-10
AP006621.5	11	777578	784297	rs1138714	5.88	129	enet	-5.23773	1.63e-07
PIDD1	11	799179	809753	rs1138714	5.88	132	blup	-5.08539	3.67e-07
CD151	11	832843	839831	rs1138714	5.88	137	lasso	-4.8503	1.23e-06
OR7E14P	11	17013998	17053024	rs11024102	10.67	119	enet	-9.7378	2.08e-22
NUCB2	11	17208153	17349974	rs11024102	10.67	135	lasso	5.06586	4.07e-07
KIF18A	11	28020620	28108308	rs10501099	-7.56	106	blup	-6.36648	1.93e-10
ELP4	11	31509750	31783998	rs1014122	5.7	143	blup	5.4024	6.58e-08
RP11-430H10.1	11	45355371	45366121	rs10838591	5.87	161	top1	-5.19031	2.1e-07
LARGE2	11	45921621	45929096	rs898604	8.99	104	top1	-5.3108	1.09e-07
ARHGAP1	11	46677080	46700615	rs10838681	11.96	72	top1	-8.6858	3.76e-18
ACP2	11	47239302	47248906	rs7942031	12.06	58	top1	-11.96218	5.61e-33
NR1H3	11	47248300	47269032	rs7942031	12.06	58	blup	5.13091	2.88e-07
PSMC3	11	47418769	47426473	rs7942031	12.06	55	top1	-11.12078	9.94e-29
CELF1	11	47465944	47565569	rs7942031	12.06	57	blup	4.79682	1.61e-06
NDUFS3	11	47565336	47584562	rs7942031	12.06	56	top1	-8.05053	8.24e-16
PTPMT1	11	47565430	47573461	rs7942031	12.06	56	blup	11.64962	2.3e-31
MTCH2	11	47617315	47642623	rs7942031	12.06	55	top1	-8.79871	1.38e-18
AGBL2	11	47659591	47715389	rs7942031	12.06	56	top1	9.66435	4.27e-22
ZDHHC5	11	57667747	57701187	rs591322	8.26	113	top1	5.31806	1.05e-07
MED19	11	57703714	57712221	rs591322	8.26	114	blup	6.76446	1.34e-11
TMX2	11	57712600	57740973	rs591322	8.26	115	top1	-5.31806	1.05e-07
C11orf31	11	57741250	57743554	rs591322	8.26	112	blup	6.21153	5.25e-10
ZFP91	11	58579111	58621042	rs591322	8.26	98	blup	4.82635	1.39e-06
CNTF	11	58622673	58625733	rs591322	8.26	94	blup	5.64202	1.68e-08
STIP1	11	64185272	64204543	rs10897453	-4.43	90	blup	5.01378	5.34e-07
AP003774.4	11	64449074	64451657	rs739390	-5.92	92	blup	-7.72629	1.11e-14
TM7SF2	11	65111845	65116384	rs1783541	-10.25	114	blup	-5.30978	1.1e-07
CMB9-22P13.1	11	65455258	65466720	rs1783541	-10.25	103	lasso	-10.201	1.96e-24
LTBP3	11	65538805	65558930	rs1783541	-10.25	106	blup	5.60003	2.14e-08
SIPA1	11	65638097	65650930	rs1783541	-10.25	101	blup	5.89577	3.73e-09
KAT5	11	65711996	65719604	rs1783541	-10.25	101	blup	-7.51044	5.89e-14
CFL1	11	65823022	65862026	rs1783541	-10.25	99	top1	5.01548	5.29e-07
SNX32	11	65833641	65856896	rs1783541	-10.25	98	enet	-7.17711	7.12e-13
C11orf68	11	65916808	65919117	rs1783541	-10.25	100	blup	-7.30496	2.77e-13
EIF1AD	11	65996545	66002176	rs1783541	-10.25	97	top1	-6.23772	4.44e-10
BANF1	11	66002079	66004149	rs1783541	-10.25	97	top1	6.23772	4.44e-10
RAB1B	11	66268533	66277492	rs1783541	-10.25	87	blup	5.05266	4.36e-07
MRPL11	11	66435075	66466738	rs1783541	-10.25	83	blup	-7.42946	1.09e-13
CTD-3074O7.11	11	66509079	66533613	rs1783541	-10.25	83	blup	4.91145	9.04e-07
CCDC87	11	66590176	66593083	rs7102454	-7.18	84	blup	5.31926	1.04e-07
USP2-AS1	11	119381778	119526664	rs4938802	14.65	150	enet	-10.6186	2.44e-26
TBCEL	11	121024072	121090775	rs4938802	14.65	170	top1	7.75225	9.03e-15
APLP2	11	130069837	130144811	rs747249	-10.09	183	blup	-4.81439	1.48e-06
TMEM117	12	43835967	44389762	rs905079	5.93	139	blup	4.76612	1.88e-06
RAPGEF3	12	47734367	47771040	rs13632	-4.87	155	top1	-4.86671	1.13e-06
RP5-1057I20.4	12	47784923	47786002	rs13632	-4.87	154	top1	4.86671	1.13e-06
COX14	12	50111979	50120457	rs7302422	-5.81	84	top1	5.61086	2.01e-08
MSRB3	12	65278643	65488244	rs10784502	-6.87	144	blup	5.24603	1.55e-07
RFX4	12	106582907	106762803	rs10450761	-7.88	152	top1	7.88306	3.19e-15
TMEM119	12	108589846	108598320	rs2287557	-6.99	165	top1	6.98731	2.8e-12
MMAB	12	109553737	109573874	rs2287557	-6.99	123	lasso	4.74955	2.04e-06
GLTP	12	109850943	109880488	rs10774697	-5.46	116	enet	-5.21727	1.82e-07
RP11-478C19.2	12	110387463	110445548	rs10774697	-5.46	91	blup	-6.9379	3.98e-12
DIS3	13	72752169	72782096	rs4885062	-7.21	171	top1	-4.89336	9.91e-07
LMO7	13	75620434	75859870	rs1006412	8.44	182	top1	-5.65705	1.54e-08
STYX	14	52730180	52774998	rs7494379	-11.17	169	top1	5.356342	8.49e-08
C14orf39	14	60396469	60515543	rs8015152	20.88	93	top1	-7.202366	5.92e-13
ISCA2	14	74493720	74497106	rs4903249	-9.61	123	lasso	-6.303319	2.91e-10
LTBP2	14	74498170	74612378	rs4903249	-9.61	136	top1	-9.614456	6.95e-22
CCDC88C	14	91271323	91417844	rs941845	-5.32	166	top1	5.045068	4.53e-07
ZNF280D	15	56630181	56918571	rs10518899	11.68	136	top1	-6.993599	2.68e-12
SMAD6	15	66702228	66782848	rs893902	7.92	148	top1	7.283925	3.24e-13
GOLGA6A	15	74069857	74082550	rs8041685	-11.54	118	blup	-5.552964	2.81e-08
ISLR	15	74173671	74176872	rs8041685	-11.54	118	blup	5.794195	6.86e-09
EDC3	15	74630558	74696292	rs8041685	-11.54	116	top1	5.452694	4.96e-08
RGMA	15	93035273	93089204	rs11853634	4.83	259	top1	4.830121	1.36e-06
ASB7	15	100602534	100651705	rs2014185	-5.45	206	blup	5.299445	1.16e-07
CDH11	16	64943753	65126112	rs1532418	-10.2	176	blup	-5.28911	1.23e-07
RP11-229O3.1	16	64981123	64983227	rs1532418	-10.2	148	top1	-9.18087	4.28e-20
WWP2	16	69762306	69941741	rs11866403	7.9	71	blup	-5.11403	3.15e-07
IL34	16	70579895	70660682	rs11866403	7.9	69	top1	-7.90267	2.73e-15
CFDP1	16	75293698	75433485	rs1469121	-6.32	133	blup	4.92279	8.53e-07
FOXF1	16	86510527	86515418	rs12927302	7.93	278	blup	5.46576	4.61e-08
HIC1	17	2054154	2063241	rs11655813	-10.6	171	top1	-6.215311	5.12e-10
SRR	17	2303383	2325260	rs11655813	-10.75	165	enet	7.190875	6.44e-13
DNAJC7	17	41976433	42021376	rs9905601	-5.4	85	blup	5.105073	3.31e-07
ARHGAP27	17	45393902	45434421	rs17631676	7.02	58	lasso	7.022224	2.18e-12
CRHR1	17	45784280	45835828	rs415430	7.63	45	top1	-7.022224	2.18e-12
NSF	17	46590669	46757464	rs2317385	-7.9	49	enet	7.402114	1.34e-13
EFCAB13	17	47323290	47441312	rs2317385	-7.9	85	enet	4.981837	6.3e-07
KPNB1	17	47649476	47685505	rs2317385	-7.9	101	top1	-6.188195	6.09e-10
PHOSPHO1	17	49223362	49230766	rs12940887	-7.54	124	blup	5.202894	1.96e-07
ZNF652	17	49289206	49362473	rs12940887	-7.54	137	top1	7.204077	5.84e-13
TOB1	17	50862223	50867978	rs12232503	5.34	156	top1	-5.342176	9.18e-08
RP11-700H6.1	17	50934989	50944713	rs12232503	5.34	154	enet	-5.342176	9.18e-08
SLC16A3	17	82228397	82261129	rs6502047	5.69	127	top1	4.864892	1.15e-06
ARHGAP28	18	6729718	6915716	rs7231122	4.94	201	top1	-4.73429	2.2e-06
PTBP1	19	797075	812327	rs736926	-7.96	142	top1	5.76393	8.22e-09
MAFB	20	40685848	40689240	rs6071822	6.59	115	enet	5.61799	1.93e-08
RP1-101A2.1	20	46681676	46682375	rs3818009	-7.16	163	blup	-4.73709	2.17e-06
TAF4	20	61953469	62065810	rs2296082	-5.67	236	top1	5.51856	3.42e-08
MRPL39	21	25585656	25607517	rs214486	-8.12	158	top1	5.256882	1.47e-07
CLDN5	22	19523024	19527545	rs12106549	-12.34	141	blup	-5.47282	4.43e-08
C22orf29	22	19846138	19854896	rs12106549	-12.34	161	top1	7.11456	1.12e-12
TXNRD2	22	19875517	19941992	rs12106549	-12.34	162	lasso	12.33656	5.76e-35
KREMEN1	22	29073078	29168333	rs5762730	-13.15	96	enet	-5.17073	2.33e-07
GAS2L1	22	29306582	29312785	rs5762730	-13.15	96	blup	9.11585	7.81e-20
RFPL1S	22	29436534	29478175	rs5762730	-13.15	103	top1	5.55849	2.72e-08
NEFH	22	29480230	29491390	rs5762730	-13.15	103	blup	-7.06182	1.64e-12
NF2	22	29603556	29698598	rs5762730	-13.15	118	blup	-5.73235	9.9e-09
RP1-102K2.9	22	30275215	30276951	rs13054354	-5.56	112	top1	-5.10052	3.39e-07
TIMP3	22	32801701	32863043	rs5994617	-8.16	214	top1	-5.07109	3.96e-07
IFT27	22	36758202	36776256	rs4239889	12.3	189	blup	5.6652	1.47e-08
SH3BP1	22	37634654	37666932	rs4821714	13.27	170	blup	-8.80793	1.27e-18
PDXP	22	37658727	37666934	rs4821714	13.27	170	top1	-6.4202	1.36e-10
LGALS1	22	37675608	37679806	rs4821714	13.27	169	top1	-7.59437	3.09e-14
MICALL1	22	37905657	37942822	rs4821714	13.27	163	blup	-7.34965	1.99e-13
PLA2G6	22	38111495	38205690	rs4821714	13.27	166	blup	4.82634	1.39e-06
CBY1	22	38656636	38673854	rs4821714	13.27	128	blup	-7.90579	2.66e-15
SUN2	22	38734725	38794143	rs4821714	13.27	123	blup	-6.03051	1.63e-09
