GENE	CHR	START	TWAS.Z
MAGI3	1	113390749	-1.74905
PTPRC	1	198638671	-1.66065
CACNA1S	1	201039512	-0.39073
PKP1	1	201283452	0.35376
DUSP12	1	161749758	-2.41992
HSPB11	1	53916574	-0.41033
TRAF5	1	211326615	0.50492
PLOD1	1	11934205	-1.1576
PPIE	1	39692182	0.3957
ZMPSTE24	1	40258107	0.38259
EIF3I	1	32221928	-1.12255
NKAIN1	1	31179745	1.60433
COL16A1	1	31652247	5.70704
TXLNA	1	32179686	-2.03956
OVGP1	1	111414314	-0.01821
SLC25A24	1	108134036	1.85681
EPS15	1	51354263	-1.03342
POMGNT1	1	46188682	-0.45063
ERO1B	1	236215555	0.96886
ASAP3	1	23428563	-1.67224
SLC9A1	1	27098815	-1.07564
RGS1	1	192575727	0.79094
NUDC	1	26900238	-2.4404
MUL1	1	20499448	1.85098
USP48	1	21678298	1.08245
TBX15	1	118883046	1.15793
AGO1	1	35869808	-2.33127
GPATCH2	1	217426992	0.12934
FMO2	1	171185208	1.94462
ACOT7	1	6264269	1.17693
SH3GLB1	1	86704570	2.74912
CDC7	1	91500893	3.55441
SYDE2	1	85156873	0.46994
PALMD	1	99645943	-0.31184
DVL1	1	1335276	-1.89713
DHCR24	1	54849633	0.12638
MARK1	1	220528183	0.28697
GPX7	1	52602372	-1.38683
PAPPA2	1	176463171	0.02269
RALGPS2	1	178725147	0.12385
ANGPTL1	1	178849705	1.41523
CEP104	1	3812081	-1.22651
FAM20B	1	179025804	0.52562
MRPL37	1	54184041	3.92541
ICMT	1	6221193	-0.45168
CHD5	1	6101793	2.00091
PHF13	1	6613685	0.78867
ERRFI1	1	8004404	2.59633
PARK7	1	7954291	1.39172
WDR77	1	111439890	1.47758
ATP5F1	1	111448864	-0.11399
RAP1A	1	111542218	-0.30545
CAPZA1	1	112619173	-6.83484
RNF19B	1	32936445	-1.79334
ASH1L	1	155335268	-0.38127
DLGAP3	1	34865436	-0.14423
SFPQ	1	35176378	-2.78199
RHOU	1	228735077	0.42833
GON4L	1	155749662	-2.38412
ARHGEF2	1	155946851	4.59685
LAMTOR2	1	156054752	-3.43265
DOCK7	1	62454298	-0.09436
SRM	1	11054584	1.09171
DLEU2L	1	63547082	0.17883
FBXO2	1	11648367	-1.55051
FBXO6	1	11664124	0.54851
C1orf21	1	184387058	0.86257
MAD2L2	1	11674480	-0.72014
DNAJC6	1	65248219	0.59232
LEPR	1	65420652	1.84891
PDC	1	186443566	-0.33677
PLA2G4A	1	186828953	-0.31561
GADD45A	1	67685061	0.581
WLS	1	68098473	-4.53133
RGS2	1	192809039	-0.1179
BCAS2	1	114567557	0.57176
CTH	1	70411218	-0.77937
OLFML3	1	113979391	1.23756
CRYZ	1	74705482	0.04883
CD58	1	116514535	-2.43757
TTF2	1	117060303	0.49554
NR5A2	1	200027602	0.86808
KIF21B	1	200969390	0.30456
ADPRHL2	1	36088875	4.02832
MAP7D1	1	36155579	3.94958
WARS2	1	119031216	0.53132
RP11-268J15.5	1	36323734	2.14741
OSCP1	1	36415827	-1.18468
GNPAT	1	231241207	0.77677
TSNAX	1	231528653	0.46428
NID1	1	235975830	-1.26761
LGALS8	1	236518000	-2.06092
HPCAL4	1	39678648	1.59065
MYCL	1	39895426	1.74837
SIPA1L2	1	232397965	-1.56093
ZNF684	1	40531561	2.4592
KCNQ4	1	40784012	-0.52943
ETV3	1	157121191	-0.2553
ACADM	1	75724347	-0.42329
ST6GALNAC5	1	76867441	0.15449
ADGRL2	1	81306160	0.3934
PADI2	1	17066761	1.65108
SDHB	1	17018722	-1.75866
MFAP2	1	16974502	0.39324
KDM5B	1	202724491	-0.16476
UAP1	1	162561506	-3.72283
RGS4	1	163068775	1.66068
IGSF21	1	18107746	-0.93417
RBBP5	1	205086142	-1.98108
GBP3	1	89006666	0.53942
PINK1-AS	1	20642657	-1.2754
HMGCL	1	23801885	-1.45081
ID3	1	23557918	0.06424
CD46	1	207752057	0.23785
APH1A	1	150265399	1.61909
ARTN	1	43933320	-0.64619
ATP6V0B	1	43974487	1.43888
B4GALT2	1	43978943	2.47862
AKR1A1	1	45550543	-4.73724
PRDX1	1	45511036	1.8869
PIK3R3	1	46040140	-5.77027
BLZF1	1	169367970	0.21227
CCDC181	1	169394870	1.18478
FAAH	1	46394265	1.33819
TMED5	1	93149742	1.3396
DR1	1	93345888	-3.35465
CNN3	1	94896949	-1.10363
F3	1	94529225	0.04326
ABCD3	1	94418455	-0.24863
PTBP2	1	96721665	-1.74167
PRDX6	1	173477266	1.01694
DARS2	1	173824503	-0.88708
IRF6	1	209785623	1.32434
PLPPR5	1	98890245	-0.05715
PLPPR4	1	99263953	-0.00375
SERPINC1	1	173903804	0.60602
RCAN3	1	24502351	0.60524
SYF2	1	25222679	0.05246
SLC35A3	1	99969789	1.01446
STMN1	1	25884181	-0.6806
MTFR1L	1	25818640	1.68383
RPS6KA1	1	26529761	-1.44054
NENF	1	212432887	-1.49343
NSL1	1	212726153	1.46047
PROX1	1	213983181	1.47708
ARID1A	1	26693236	3.54576
RPA2	1	27891524	-0.60293
PPP1R8	1	27830778	1.1533
STX12	1	27773183	-0.71985
MARC2	1	220748225	0.72646
TNNT2	1	201359008	0.08446
CAMSAP2	1	200739558	1.23263
CA14	1	150257159	0.18935
ANKRD13C	1	70260588	-0.85027
SGIP1	1	66533383	-0.1019
CASQ2	1	115700007	-1.04322
OLFM3	1	101802574	0.11573
C1orf198	1	230837119	-1.31614
TRIM67	1	231162112	-1.63586
HEATR1	1	236549005	1.92551
MRPS14	1	175010789	0.18289
CENPL	1	173799550	0.53873
SEC16B	1	177923956	-0.83397
TAF12	1	28589323	0.84129
TARDBP	1	11012344	2.91948
ECHDC2	1	52895910	2.2469
LHX4	1	180230286	0.06784
TRMT1L	1	185118098	1.07142
DESI2	1	244652935	-1.68351
ADGRB2	1	31727117	-0.98918
TMEM54	1	32894594	-2.3091
ZSCAN20	1	33472645	-0.23937
HPCA	1	32885994	-1.62637
LRIF1	1	110947185	-0.76007
CLCC1	1	108929508	-0.03083
FMOD	1	203340628	0.98593
COPA	1	160289273	1.35461
ODF2L	1	86346824	-2.83243
TRMT13	1	100133150	2.50532
RWDD3	1	95234155	-1.04298
ZNF644	1	90915298	-0.37303
RPAP2	1	92298965	2.95912
RNF11	1	51236271	0.15787
STIL	1	47250139	0.81403
LPGAT1	1	211743457	-0.8589
MSTO1	1	155610205	4.91938
C1orf61	1	156404250	-1.42242
ATG4C	1	62784135	1.06766
HNRNPR	1	23303771	-0.14257
ZNF436	1	23359448	0.958
UROD	1	45012147	1.10983
ST3GAL3	1	43705824	0.30716
TMEM53	1	44635238	2.03646
HECTD3	1	45002540	3.40012
DNAJC8	1	28199456	-0.19572
IFI6	1	27666061	0.90225
HIVEP3	1	41506365	2.07137
EMC1	1	19215664	-1.27375
PLA2G5	1	20028179	-2.02069
UBR4	1	19074506	-0.55512
MACF1	1	39081316	1.97165
ARHGEF16	1	3454426	-0.75137
LRRC47	1	3778558	-1.21168
SESN2	1	28259527	-0.33349
ATPIF1	1	28236109	-0.19572
MED18	1	28329002	1.3812
THEMIS2	1	27872543	-2.09783
UBE4B	1	10032832	2.37689
GJA9	1	38874451	0.30201
CAP1	1	40040233	0.43577
PPT1	1	40072705	-1.04718
ACAP3	1	1292376	-1.60734
C1orf159	1	1081818	0.8546
NPHP4	1	5862811	0.70485
SPATA6	1	48295372	0.36944
LRRC41	1	46261196	-0.45063
KIAA0907	1	155913043	-4.50375
ATP1A4	1	160151570	-1.07876
ARHGEF11	1	156934840	-1.46082
SYT11	1	155859509	-0.97963
DPH2	1	43970000	0.37578
NASP	1	45583846	3.39871
FBXO44	1	11654375	2.5787
RSG1	1	16231700	-0.41698
CASP9	1	15490832	-0.73388
CHI3L1	1	203178931	-2.6609
DSTYK	1	205142505	-0.08714
SLC41A1	1	205789093	-1.64864
EPHB2	1	22710839	-1.49345
SRRM1	1	24631716	-0.11214
GNAT2	1	109603267	0.49461
GSTM1	1	109687814	-0.19963
TSPAN2	1	115048011	-1.83202
GSTM5	1	109712255	1.0156
GSTM3	1	109733932	-1.11049
SYT6	1	114089291	-0.10152
VAV3	1	107571160	1.9093
PTPN22	1	113813811	0.51886
SORT1	1	109309568	1.02122
WNT2B	1	112466541	0.38956
LAMTOR5	1	110401249	-1.51345
CEPT1	1	111139627	1.01464
AP4B1	1	113894748	-0.98808
CDC73	1	193122017	0.41399
TIMM17A	1	201955491	-2.02493
CRB1	1	197268204	0.11272
YARS	1	32775237	1.07915
PHC2	1	33323623	4.37364
CDCA8	1	37692418	-0.33164
GNL2	1	37566816	-5.67569
CYP2J2	1	59893308	2.58536
BTF3L4	1	52056125	-1.47213
ZCCHC11	1	52408282	-0.40975
PRPF38A	1	52404564	-3.54518
KCNK1	1	233614004	-2.22662
URB2	1	229626234	1.60283
COG2	1	230642489	0.84159
ABCB10	1	229516582	0.93704
NTPCR	1	232950605	-0.41173
GLUL	1	182381704	0.69972
STX6	1	180972712	0.23456
RGS8	1	182641816	-0.38654
RNASEL	1	182573634	-1.33577
KIAA1614	1	180913154	-2.2507
CEP350	1	179954738	-0.33769
NPL	1	182789293	0.59492
PIGC	1	172370189	-0.36
LAMC1	1	183023460	-2.41585
EPRS	1	219968601	-1.86543
KCTD3	1	215567392	-0.10324
TTLL7	1	83865028	0.33865
FNBP1L	1	93448131	2.33736
KYAT3	1	88935773	-1.63793
RABGGTB	1	75786197	0.16965
ARHGAP29	1	94148988	-0.24863
IFI44	1	78649796	1.44346
SLC44A5	1	75202131	1.13548
RPL7P9	1	96678874	-0.35773
RTCA	1	100266207	0.63997
SLC2A5	1	9035107	0.53622
RERE	1	8352397	3.26409
PADI1	1	17205126	1.85087
EPHA2	1	16124337	0.118
ARHGEF19	1	16197854	-0.39324
PEX14	1	10472288	-2.83451
MYOM3	1	24056035	-1.23485
SH3BGRL3	1	26279176	1.68383
ZNF593	1	26169871	1.00251
C1orf216	1	35713875	2.12652
KIAA0319L	1	35433490	0.2021
MAP3K6	1	27355184	0.4193
GPN2	1	26876133	-1.06582
WDTC1	1	27234516	0.95873
NBPF3	1	21440128	-1.60091
HSPG2	1	21822245	-3.24436
SERBP1	1	67407810	0.65179
BCL10	1	85266248	0.75901
PRKACB	1	84078062	-0.85963
PIGK	1	77088990	-0.64626
AZIN2	1	33081104	-1.98097
RPS8	1	44775251	-0.51741
LMO4	1	87328468	0.04826
SYPL2	1	109466628	2.40609
BARHL2	1	90711539	-1.02076
MTF2	1	93079235	1.1262
SLC44A3	1	94820342	0.08952
CTTNBP2NL	1	112396181	0.38956
C1orf162	1	111473792	-0.02656
CELSR2	1	109250019	3.55926
ATP1B1	1	169105697	1.71489
TIPRL	1	168178933	0.65553
MPC2	1	167916729	1.27653
DCAF6	1	167935783	-1.52613
RXRG	1	165400917	3.4002
TBX19	1	168281040	0.27505
UCK2	1	165827531	2.35576
POU2F1	1	167220829	-0.14391
MAEL	1	166975582	1.86565
MGST3	1	165630861	6.15205
RFWD2	1	175944831	-1.47916
UFC1	1	161152776	-0.9488
PPOX	1	161166410	-0.28647
FCGR2A	1	161505430	-0.49525
NUF2	1	163266576	-1.37165
RGS5	1	163111121	3.97779
SDHC	1	161314257	-0.78879
USP21	1	161159450	-0.04288
RRNAD1	1	156728442	0.66655
MRPL24	1	156737303	-0.04785
CASQ1	1	160190556	-1.35461
ISG20L2	1	156721891	1.66958
HDGF	1	156742107	2.68731
ABL2	1	179099327	-0.36077
XPR1	1	180632004	1.00795
TOR1AIP1	1	179882042	-0.10946
HMCN1	1	185734551	1.57615
LYPLAL1	1	219173844	-9.72604
PRUNE1	1	151008420	1.44449
SF3B4	1	149923317	-1.22679
TARS2	1	150487364	-0.57821
CGN	1	151510510	1.37312
SETDB1	1	150926263	0.06028
MCL1	1	150574551	-0.47972
CTSK	1	150796208	0.88323
PI4KB	1	151291797	-1.38903
ENSA	1	150600851	1.10542
MRPL9	1	151759643	0.63144
POGZ	1	151402724	0.02453
GOLPH3L	1	150646225	-0.8241
KCNH1	1	210678315	0.77721
DYRK3	1	206635536	-1.64588
EIF2D	1	206571292	0.82095
INTS7	1	211940399	-0.14125
VASH2	1	212950520	1.57181
TAF1A	1	222557902	-4.12423
SMYD2	1	214281102	0.18467
SUSD4	1	223220819	-0.51595
DUSP10	1	221701424	1.53982
ATP8B2	1	154325553	0.14048
ADAM15	1	155050566	-1.06008
S100A8	1	153390032	0.70016
TPM3	1	154155304	-2.60532
SNAPIN	1	153658654	-1.6168
SLC27A3	1	153774354	-0.83787
UBAP2L	1	154220179	-0.16767
SLC39A1	1	153959099	0.64677
HAX1	1	154272511	-4.54225
CREB3L4	1	153967534	1.12018
KCNN3	1	154697455	0.75017
GATAD2B	1	153789030	-0.83542
ILF2	1	153661788	-0.67043
RIT1	1	155897808	-3.42286
INTS3	1	153728067	-0.24226
C1orf131	1	231223763	0.11369
SCCPDH	1	246724047	2.52169
RP5-862P8.2	1	233327768	-3.35778
CEP170	1	243124428	-1.48023
SNAP47	1	227728539	3.22641
SRP9	1	225777813	0.03826
SDE2	1	225982702	-0.37108
DEGS1	1	224175756	0.03565
FBXO28	1	224114087	3.58529
ARF1	1	228082660	3.47062
LEFTY2	1	225936598	1.55831
ITPKB	1	226631690	4.48088
GUK1	1	228139962	-0.3964
CDC42BPA	1	226989865	-3.49555
CNIH3	1	224434660	-0.84841
C1orf35	1	228100726	-0.6726
PYCR2	1	225919877	0.22194
LBR	1	225401502	1.49838
SOX13	1	204073115	1.48074
ETNK2	1	204131062	-1.10165
PPFIA4	1	203026498	-1.987
ZMYM4	1	35268967	-0.28096
PLCH2	1	2425980	-1.47317
FCGR1A	1	149782671	2.93446
NEK7	1	198156963	0.28021
RABGAP1L	1	174159410	0.42273
TMEM56	1	95117338	-1.56173
TCTEX1D1	1	66752459	-2.33697
WDR78	1	66812885	0.42946
HNRNPU	1	244840638	0.10517
LINC00467	1	211382803	0.51916
DDAH1	1	85318481	4.0688
HS2ST1	1	86914648	1.37467
CC2D1B	1	52345723	1.04029
MIA3	1	222618086	1.54712
OBSCN	1	228208130	-1.3924
TRIM11	1	228393673	0.67325
ENAH	1	225486835	1.11631
CCSAP	1	229321005	1.49408
FAM69A	1	92832737	-0.42166
RHOC	1	112701106	0.38956
PPM1J	1	112709994	-2.20175
SLC16A1	1	112911847	-0.14079
SPAG17	1	117953861	1.38369
GPR61	1	109539872	-0.90365
MFSD14A	1	100038097	0.34575
SASS6	1	100083563	-1.28864
ZFYVE9	1	52142094	0.5948
CPT2	1	53196429	-0.44245
NECAP2	1	16440672	1.57551
LRP8	1	53242364	0.85015
SSBP3	1	54225432	1.50649
TNFRSF14	1	2555639	-2.16725
PANK4	1	2508533	-1.65009
PEX10	1	2403964	-0.71221
RER1	1	2391775	-5.30729
SKI	1	2228695	-2.30957
PAFAH2	1	25959767	0.51847
EXTL1	1	26019884	-0.51847
TPRG1L	1	3625002	0.91796
EYA3	1	27970344	0.46616
WASF2	1	27404226	0.41121
FAM46B	1	27005020	0.92024
RNF207	1	6205475	-0.18227
GPR153	1	6247346	-0.49555
CD1D	1	158179947	1.12387
PPP1R15B	1	204403387	1.7312
ELK4	1	205597556	-0.12968
DUSP23	1	159780932	1.10146
NBL1	1	19640554	4.84997
DEDD	1	161120974	1.36272
NDUFS2	1	161197104	-0.62099
FCER1G	1	161215234	0.78431
TOMM40L	1	161225939	-0.24211
CACHD1	1	64470792	1.92932
EPB41	1	28887091	1.13558
SV2A	1	149903318	0.24139
CSRP1	1	201483530	1.51433
C1QC	1	22643630	1.41056
CIART	1	150282543	-0.91253
CCDC24	1	43991359	-1.43888
CYB5R1	1	202961869	-0.95589
PSMD4	1	151254703	-1.51703
PSMB4	1	151399534	-1.22435
BTG2	1	203305491	-1.42926
ALDH4A1	1	18871430	0.83721
THEM4	1	151873584	0.41683
MED8	1	43383917	0.26111
CCDC17	1	45620044	4.08682
GPBP1L1	1	45627304	5.96335
DFFA	1	10456522	0.90163
CCDC28B	1	32200386	-0.20986
TMEM234	1	32214472	-0.19339
BSDC1	1	32365103	-0.13557
ZBTB8A	1	32539427	-0.13107
ATAD3B	1	1471769	0.78941
ZNF362	1	33256545	0.19174
FNDC5	1	32862268	-2.0585
S100A1	1	153627926	1.61972
ZBTB7B	1	155002630	-2.60532
FLAD1	1	154983338	0.03534
SHC1	1	154962298	0.17619
ADAR	1	154582062	0.48855
IL6R	1	154405193	-1.1642
CRTC2	1	153947669	1.56329
FDPS	1	155308748	-2.32148
FAM189B	1	155247205	1.51343
PAQR6	1	156243321	-0.97812
PMF1	1	156212993	0.35341
SLC25A44	1	156193932	0.14131
LMNA	1	156082573	-2.52147
GPATCH4	1	156594487	-1.24825
TAL1	1	47216290	0.44041
CMPK1	1	47333797	-0.05401
ELAVL4	1	50048014	0.80632
COA7	1	52684451	-1.39336
ZYG11B	1	52726467	-2.2469
SLC1A7	1	53087179	-1.51211
C1orf123	1	53214099	0.24252
PLPP3	1	56494747	2.57075
PRKAA2	1	56645322	0.05001
KLHL21	1	6590724	-0.21747
ZSWIM5	1	45016399	-0.46152
GMEB1	1	28668732	-0.18947
SLC45A1	1	8317826	-0.23652
RAVER2	1	64745095	-0.05309
FBLIM1	1	15756607	-0.32845
SLC25A34	1	15736405	0.90959
AKR7A3	1	19282558	0.17326
PDPN	1	13583465	3.63794
LRRC38	1	13474977	-0.02482
DHRS3	1	12567910	2.42246
PEF1	1	31629862	1.53558
SYNC	1	32680360	0.25926
UBXN10	1	20186085	0.3398
CAMK2N1	1	20482391	1.64955
ALPL	1	21509372	-0.224
MXRA8	1	1352689	-1.50687
FAAP20	1	2184461	-1.40413
MEGF6	1	3489920	-0.90401
DIRAS3	1	68045962	3.34063
NFIA	1	60865259	-0.80223
OMA1	1	58415384	1.11587
TM2D1	1	61681046	-1.86494
USP1	1	62436297	-1.8551
FUBP1	1	77944055	-0.77071
NEXN	1	77888513	0.37602
DNAJB4	1	77979175	0.27046
ADGRL4	1	78889764	-1.04126
LRRIQ3	1	74026015	1.30027
TYW3	1	74733152	1.47999
SNX7	1	98661701	1.47352
B3GALT2	1	193179045	1.14272
NTNG1	1	107140007	-1.11764
HENMT1	1	108648290	-0.22703
C1orf52	1	85249953	2.2097
GBP4	1	89181148	1.03389
ZNF326	1	89995112	0.522
BRINP3	1	190097662	-0.70554
VCAM1	1	100719742	-5.28856
ARPC5	1	183620846	2.60316
CADM3	1	159171609	0.37443
ZNF496	1	247297412	0.36209
KCNJ9	1	160081570	-0.49624
DDR2	1	162631373	5.42026
PEA15	1	160205337	1.0026
NCSTN	1	160343272	1.06588
OLFML2B	1	161983192	0.67134
KLHDC9	1	161098361	0.60754
FLVCR1	1	212858255	1.45716
ATF3	1	212565334	-0.59042
DENND2D	1	111187174	1.96811
AXDND1	1	179365720	1.51013
TDRD5	1	179591613	1.17471
IER5	1	181088712	0.57268
BPNT1	1	220057482	1.09545
SPATA17	1	217631324	0.64409
C1orf115	1	220689845	3.08783
KIF26B	1	245154985	-0.50785
TFB2M	1	246540560	-0.54412
CNST	1	246566444	-0.25368
KLHDC8A	1	205336065	-2.93875
B3GALNT2	1	235449923	0.41152
MAPKAPK2	1	206684944	-1.9124
CAPN2	1	223701593	-1.3778
MRPL55	1	228106679	1.27378
C1orf145	1	228203506	1.5893
TRIM17	1	228407940	0.67325
DISC1	1	231626815	-1.43108
ADCK3	1	226897536	-1.88634
RPRD2	1	150363091	-1.01604
CTSS	1	150730196	0.71672
SCNM1	1	151156664	-2.07386
VPS72	1	151169987	-0.81852
S100A11	1	152032506	-2.20774
PMVK	1	154924734	-2.28718
PYGO2	1	154957026	-1.441
HIPK1	1	113929192	-1.23756
DCST1	1	155033824	-1.06008
C1orf106	1	200891048	0.51884
YY1AP1	1	155659443	-2.80333
NAXE	1	156591762	0.82703
SLC22A15	1	115976498	0.3834
IGFN1	1	201190825	-1.8081
ELF3	1	202007945	0.4236
CCT3	1	156308968	-1.44184
TMEM79	1	156282935	1.78159
ADORA1	1	203090654	2.61157
NFASC	1	204828651	-0.2914
MNDA	1	158831317	1.33031
IFI16	1	158999968	0.3561
GRIK3	1	36795527	0.3772
DNALI1	1	37556919	-3.39369
HEYL	1	39624153	-1.60339
C1orf50	1	42767269	-1.64263
RAB4A	1	229271062	1.23708
GNG4	1	235547687	-3.71996
COA6	1	234373456	-0.85114
MFSD2A	1	39955112	0.72258
NDUFS5	1	39026318	0.61735
SLC16A4	1	110362848	2.94461
GSTM4	1	109656081	-0.00313
SLC50A1	1	155135344	2.36223
SHE	1	154469772	1.94658
PTAFR	1	28147166	-0.4521
NPR1	1	153678637	3.00537
CLIC4	1	24745357	2.5318
DFFB	1	3857267	1.3928
LUZP1	1	23084023	1.11736
PUSL1	1	1308567	-0.197
IFFO2	1	18904281	0.04227
LRRN2	1	204617170	-4.02924
S1PR1	1	101236888	0.55094
ZNF672	1	248838210	0.99244
LRRC8D	1	89821014	1.01876
CLSTN1	1	9729026	-1.69341
PIK3CD	1	9651732	-4.05595
SLC25A33	1	9539482	-1.06843
SPSB1	1	9292880	0.4889
PLEKHG5	1	6466092	3.34737
NHLH1	1	160367067	1.75438
SLFNL1	1	41015597	-1.1884
CTPS1	1	40979335	-3.08025
COL8A2	1	36095236	8.17397
EXOSC10	1	11066618	1.8151
PPIH	1	42658425	1.14187
EPHX4	1	92029982	1.07986
ALG14	1	94974407	-0.94688
MTX1	1	155208699	2.0226
CKS1B	1	154974653	-2.79451
VANGL1	1	115641953	0.91185
ARV1	1	230978981	1.61559
HSPB7	1	16014028	0.8919
PLK3	1	44800225	5.04497
GNG5	1	84498325	-0.19335
CYB561D1	1	109494052	-0.22414
PHLDA3	1	201464383	1.27354
PODN	1	53062052	-1.35417
MFSD4A	1	205568885	-1.34291
TMEM81	1	205083129	-1.67948
GOLT1A	1	204198160	0.39942
ANGEL2	1	212992182	1.55056
SH3BP5L	1	248810446	-0.36402
APITD1	1	10430443	2.768
KDF1	1	26949562	-0.57249
ZBTB8OS	1	32600172	-2.86799
MTHFR	1	11785723	-0.44088
KCNA3	1	110672465	-1.97629
KCNA2	1	110593580	-0.57589
NHLH2	1	115836377	-2.11066
JUN	1	58780788	-1.2271
PGBD5	1	230314482	-0.12652
GBA	1	155234452	-2.79451
AGTRAP	1	11736084	-0.66663
SVBP	1	42807052	-0.16738
RPS27	1	153990759	1.57819
DMAP1	1	44213455	-2.44861
BOLA1	1	149887890	-2.15087
PDE4DIP	1	148808181	0.60429
RIIAD1	1	151710433	0.41683
ERICH3	1	74568111	-0.03506
FUCA1	1	23845077	-0.83301
C1orf101	1	244454377	-0.10882
VWA1	1	1434861	1.02538
ZBTB18	1	244048939	-1.36041
CITED4	1	40861051	-1.1523
TRNAU1AP	1	28553085	0.65781
FAM73A	1	77779624	0.81084
YOD1	1	207043849	1.76918
LINC01555	1	84628230	-1.04156
GREM2	1	240489573	0.37632
HIST3H2A	1	228456979	1.09248
ZNF678	1	227563543	1.45827
AMIGO1	1	109504175	1.01917
GPR3	1	27392644	0.05172
LSM10	1	36391238	1.77078
SNRPE	1	203861603	2.69652
FAM89A	1	231018958	-0.53286
TDRKH	1	151770107	-0.91731
PAQR7	1	25861210	-1.67147
ACBD3	1	226144679	0.39602
RP11-181G12.2	1	2181794	-1.20907
RABIF	1	202878957	0.0607
SEP15	1	86862445	-2.95193
EPHA10	1	37713880	0.44141
SF3A3	1	37956975	-5.08263
UTP11	1	38009258	-0.00742
FAM167B	1	32247233	-2.86142
TMEM50A	1	25337917	-2.44707
SLC35F3	1	233904933	-0.56692
LIN9	1	226231149	4.6022
ANKRD45	1	173609561	-0.23098
KIRREL	1	157993273	0.92876
C1orf64	1	16004236	-1.46663
ST6GALNAC3	1	76074719	-0.30647
PTP4A2	1	31906421	0.64385
NCMAP	1	24556111	-0.79382
PDE4B	1	65792514	0.34849
FAM19A3	1	112720419	1.57048
ZBTB40	1	22451851	-0.34647
MGAT4EP	1	202820266	0.44998
CLCNKB	1	16043736	-0.38463
MANEAL	1	37793802	-0.50416
PGBD2	1	248906196	-0.24153
ZBTB37	1	173868082	0.49027
IFNLR1	1	24154157	0.09236
ROR1	1	63774022	1.63248
MUC1	1	155185824	-0.25317
FAM131C	1	16057769	0.15197
DNAH14	1	224896262	-1.21119
RNPC3	1	103525691	2.06801
LEMD1	1	205381378	-0.38039
AIDA	1	222668013	-4.38942
AGBL4	1	48532855	0.23781
TOR3A	1	179081377	-0.84579
MST1P2	1	16645622	-1.3746
CYP4X1	1	47023568	0.69213
CCDC30	1	42463330	-0.17931
TMEM222	1	27322145	-0.50733
ARHGAP30	1	161046946	0.54967
FOXD2	1	47436017	-1.97905
MST1L	1	16754910	1.2427
ESPN	1	6424788	2.03236
RNF220	1	44405194	0.69488
TLR5	1	223109406	1.42281
SAMD11	1	923928	-2.71371
PERM1	1	975204	0.69445
ZFP69B	1	40450102	-1.14459
