BETA	MAF	P	study	gene
0.0414	0.3019	2.426e-14	MTAG 5e-8	no
-0.041	0.1716	1.405e-10	MTAG 5e-8	no
0.0422	0.2218	1.591e-13	MTAG 5e-8	no
0.0352	0.3692	4.453e-12	MTAG 5e-8	no
0.0332	0.3973	6.85e-11	MTAG 5e-8	no
-0.0416	0.2701	7.899e-14	MTAG 5e-8	no
0.0294	0.4245	5.353e-09	MTAG 5e-8	no
0.0534	0.4732	3.259e-22	MTAG 5e-8	no
-0.0344	0.1773	3.36e-08	MTAG 5e-8	no
-0.0386	0.4467	1.281e-14	MTAG 5e-8	no
-0.0606	0.1536	9.125e-19	MTAG 5e-8	no
-0.0321	0.1963	4.042e-08	MTAG 5e-8	no
-0.0425	0.1316	1.87e-08	MTAG 5e-8	no
-0.0329	0.3093	5.847e-10	MTAG 5e-8	no
-0.0505	0.1876	3.283e-15	MTAG 5e-8	no
-0.0552	0.08864	2.868e-08	MTAG 5e-8	no
-0.0412	0.0953	3.725e-08	MTAG 5e-8	no
0.0534	0.07438	6.707e-09	MTAG 5e-8	no
0.0327	0.2551	1.761e-08	MTAG 5e-8	no
-0.0338	0.2168	5.57e-09	MTAG 5e-8	no
-0.0975	0.1888	2.435e-40	MTAG 5e-8	no
-0.0308	0.4232	3.656e-10	MTAG 5e-8	no
-0.0317	0.4311	7.741e-10	MTAG 5e-8	no
0.0532	0.2458	6.606e-21	MTAG 5e-8	no
0.0958	0.0377	1.965e-10	MTAG 5e-8	no
-0.0955	0.2354	6.48e-57	MTAG 5e-8	no
0.0291	0.4756	3.073e-09	MTAG 5e-8	no
-0.0375	0.1941	1.389e-09	MTAG 5e-8	no
0.0598	0.154	4.265e-18	MTAG 5e-8	no
-0.0617	0.1894	4.306e-22	MTAG 5e-8	no
0.0396	0.2238	4.772e-11	MTAG 5e-8	no
-0.0413	0.1243	1.791e-09	MTAG 5e-8	no
-0.0607	0.1768	1.01e-18	MTAG 5e-8	no
0.0484	0.2104	5.108e-17	MTAG 5e-8	no
0.0403	0.4976	2.776e-16	MTAG 5e-8	no
0.0787	0.1063	1.051e-27	MTAG 5e-8	no
-0.042	0.1988	5.405e-13	MTAG 5e-8	no
-0.0339	0.2049	8.403e-09	MTAG 5e-8	no
0.06	0.1978	1.468e-16	MTAG 5e-8	no
0.0444	0.1018	4.043e-08	MTAG 5e-8	no
-0.0517	0.1229	3.177e-11	MTAG 5e-8	no
-0.0494	0.4095	5.648e-22	MTAG 5e-8	no
-0.063	0.1329	2.385e-18	MTAG 5e-8	no
-0.0352	0.3457	4.06e-12	MTAG 5e-8	no
-0.0596	0.06406	9.714e-10	MTAG 5e-8	no
0.0409	0.4445	1.048e-16	MTAG 5e-8	no
-0.0399	0.4031	9.121e-16	MTAG 5e-8	no
-0.0323	0.2428	3.966e-08	MTAG 5e-8	no
-0.0303	0.3095	1.258e-08	MTAG 5e-8	no
-0.0512	0.2961	1.731e-21	MTAG 5e-8	no
0.1071	0.02823	8.561e-11	MTAG 5e-8	no
-0.0551	0.1007	8.185e-13	MTAG 5e-8	no
-0.0377	0.4229	7.851e-14	MTAG 5e-8	no
0.037	0.2103	2.433e-10	MTAG 5e-8	no
-0.0545	0.2318	1.026e-21	MTAG 5e-8	no
-0.0604	0.1538	1.561e-18	MTAG 5e-8	no
0.0321	0.3879	4.385e-10	MTAG 5e-8	no
0.0326	0.3732	5.901e-10	MTAG 5e-8	no
0.0579	0.1541	1.675e-17	MTAG 5e-8	no
-0.0286	0.4333	1.603e-08	MTAG 5e-8	no
-0.0301	0.3859	5.03e-09	MTAG 5e-8	no
-0.0412	0.1429	4.794e-08	MTAG 5e-8	no
-0.0945	0.07666	6.05e-16	MTAG 5e-8	no
-0.1415	0.1962	1.312e-81	MTAG 5e-8	no
-0.0307	0.3442	4.567e-09	MTAG 5e-8	no
0.0399	0.1715	3.92e-09	MTAG 5e-8	no
-0.0712	0.1218	1.058e-19	MTAG 5e-8	no
-0.0328	0.2706	1.02e-09	MTAG 5e-8	no
-0.0869	0.05442	5.316e-15	MTAG 5e-8	no
0.0273	0.4952	4.217e-08	MTAG 5e-8	no
0.0407	0.1491	3.672e-10	MTAG 5e-8	no
0.0424	0.1959	2.667e-11	MTAG 5e-8	no
-0.029	0.294	3.337e-08	MTAG 5e-8	no
0.0507	0.1807	2.529e-15	MTAG 5e-8	no
-0.0586	0.1467	5.483e-17	MTAG 5e-8	no
-0.0749	0.4874	4.057e-52	MTAG 5e-8	no
-0.0326	0.3458	1.217e-09	MTAG 5e-8	no
-0.0552	0.07434	1.891e-09	MTAG 5e-8	no
0.049	0.3926	3.549e-22	MTAG 5e-8	no
-0.0672	0.3059	4.586e-35	MTAG 5e-8	no
-0.0662	0.1658	7.648e-11	MTAG 5e-8	no
-0.041	0.4753	1.744e-15	MTAG 5e-8	no
0.0577	0.1395	4.037e-15	MTAG 5e-8	no
-0.1052	0.03	2.892e-11	MTAG 5e-8	no
0.0294	0.4049	7.581e-09	MTAG 5e-8	no
0.0688	0.1738	6.413e-13	MTAG 5e-8	no
0.0589	0.424	3.253e-31	MTAG 5e-8	no
0.0447	0.3529	8.913e-18	MTAG 5e-8	no
-0.0666	0.3927	3.631e-40	MTAG 5e-8	no
0.0425	0.2493	2.679e-13	MTAG 5e-8	no
-0.0606	0.1538	1.003e-18	MTAG 5e-8	no
0.0405	0.1516	7.645e-10	MTAG 5e-8	no
0.0484	0.0886	6.312e-09	MTAG 5e-8	no
0.0387	0.2195	1.309e-10	MTAG 5e-8	no
0.0945	0.07619	5.391e-16	MTAG 5e-8	no
0.0368	0.1994	1.058e-08	MTAG 5e-8	no
0.0282	0.4591	2.699e-08	MTAG 5e-8	no
-0.035	0.1985	1.347e-08	MTAG 5e-8	no
0.0493	0.2394	6.415e-18	MTAG 5e-8	no
0.1052	0.02722	2.855e-10	MTAG 5e-8	no
0.0825	0.0675	3.474e-17	MTAG 5e-8	no
-0.0385	0.1366	1.668e-08	MTAG 5e-8	no
0.0456	0.1634	1.6e-08	MTAG 5e-8	no
-0.0351	0.3769	1.498e-11	MTAG 5e-8	no
0.0577	0.4277	1.141e-31	MTAG 5e-8	no
-0.0337	0.2511	6.288e-09	MTAG 5e-8	no
0.096	0.06852	4.28e-18	MTAG 5e-8	no
-0.0298	0.293	2.433e-08	MTAG 5e-8	no
0.1291	0.02184	1.114e-13	MTAG 5e-8	no
-0.0556	0.1765	9.64e-16	MTAG 5e-8	no
-0.072	0.1722	6.08e-09	MTAG 5e-8	no
-0.0469	0.123	5.91e-09	MTAG 5e-8	no
-0.0321	0.462	4.957e-11	MTAG 5e-8	no
-0.0469	0.1188	1.403e-09	MTAG 5e-8	no
-0.0535	0.3038	1.054e-24	MTAG 5e-8	no
-0.0379	0.1705	2.72e-09	MTAG 5e-8	no
0.0724	0.04336	7.682e-09	MTAG 5e-8	no
0.0461	0.2216	1.93e-15	MTAG 5e-8	no
0.037	0.2085	9.604e-10	MTAG 5e-8	no
0.0321	0.3144	2.656e-09	MTAG 5e-8	no
-0.0602	0.1538	1.635e-18	MTAG 5e-8	no
-0.06	0.2089	9.379e-17	MTAG 5e-8	no
-0.0422	0.137	1.3e-08	MTAG 5e-8	no
-0.0392	0.4916	1.442e-15	MTAG 5e-8	no
0.0643	0.2025	1.245e-10	MTAG 5e-8	no
0.0679	0.185	6.084e-09	MTAG 5e-8	no
0.0451	0.1612	1.487e-11	MTAG 5e-8	no
-0.0483	0.4433	2.886e-23	MTAG 5e-8	no
-0.1204	0.004959	1.988e-08	MTAG 5e-8	no
-0.1445	0.4956	4.19e-127	MTAG 5e-8	no
-0.0368	0.2467	5.354e-10	MTAG 5e-8	no
0.0323	0.3102	2.993e-09	MTAG 5e-8	no
-0.0306	0.4103	8.54e-10	MTAG 5e-8	no
0.0308	0.2981	4.482e-09	MTAG 5e-8	no
-0.0318	0.4226	1.396e-10	MTAG 5e-8	no
-0.0668	0.3382	7.755e-37	MTAG 5e-8	no
0.0375	0.1973	8.538e-10	MTAG 5e-8	no
0.103	0.04028	1.632e-15	MTAG 5e-8	no
0.0469	0.1056	1.895e-09	MTAG 5e-8	no
0.0645	0.2029	3.448e-22	MTAG 5e-8	no
-0.0701	0.05315	2.023e-09	MTAG 5e-8	no
-0.0319	0.4059	2.569e-10	MTAG 5e-8	no
-0.0308	0.4363	1.261e-09	MTAG 5e-8	no
0.0428	0.4252	3.502e-17	MTAG 5e-8	no
0.0302	0.3136	1.379e-08	MTAG 5e-8	no
-0.052	0.4663	2.031e-24	MTAG 5e-8	no
-0.0364	0.3222	8.977e-13	MTAG 5e-8	no
0.0293	0.2939	2.524e-08	MTAG 5e-8	no
0.036	0.1887	8.94e-09	MTAG 5e-8	no
-0.0291	0.3606	1.242e-08	MTAG 5e-8	no
0.0318	0.4478	7.368e-11	MTAG 5e-8	no
-0.0437	0.3332	2.618e-16	MTAG 5e-8	no
-0.0726	0.2365	2.819e-35	MTAG 5e-8	no
0.0683	0.4931	8.718e-29	MTAG 5e-8	no
-0.0458	0.1069	1.198e-10	MTAG 5e-8	no
0.0612	0.1378	4.906e-17	MTAG 5e-8	no
0.0339	0.296	3.617e-09	MTAG 5e-8	no
0.039	0.1899	1.059e-09	MTAG 5e-8	no
0.0326	0.2705	1.233e-09	MTAG 5e-8	no
0.0311	0.3376	1.937e-08	MTAG 5e-8	no
-0.0438	0.1571	2.069e-08	MTAG 5e-8	no
-0.0355	0.2778	1.388e-10	MTAG 5e-8	no
0.0605	0.1538	1.157e-18	MTAG 5e-8	no
-0.0589	0.3406	2.607e-31	MTAG 5e-8	no
0.1436	0.1251	1.775e-59	MTAG 5e-8	no
-0.0318	0.4789	1.26e-10	MTAG 5e-8	no
0.0293	0.3427	6.578e-09	MTAG 5e-8	no
-0.0657	0.06293	1.361e-10	MTAG 5e-8	no
0.031	0.3022	2.467e-08	MTAG 5e-8	no
-0.0315	0.2419	1.77e-08	MTAG 5e-8	no
0.0601	0.1537	1.923e-18	MTAG 5e-8	no
-0.0401	0.2262	2.923e-12	MTAG 5e-8	no
-0.049	0.1596	6.179e-13	MTAG 5e-8	no
-0.0506	0.1806	1.39e-15	MTAG 5e-8	no
0.0666	0.1189	1.913e-09	MTAG 5e-8	no
0.056	0.1443	3.785e-14	MTAG 5e-8	no
0.0346	0.4699	1.564e-12	MTAG 5e-8	no
-0.0559	0.1093	1.088e-11	MTAG 5e-8	no
-0.0606	0.1538	1.087e-18	MTAG 5e-8	no
-0.0446	0.1484	5.052e-11	MTAG 5e-8	no
-0.0285	0.4815	1.135e-08	MTAG 5e-8	no
0.0451	0.118	4.276e-10	MTAG 5e-8	no
-0.0434	0.3023	1.19e-14	MTAG 5e-8	no
0.0509	0.3144	1.998e-21	MTAG 5e-8	no
0.0424	0.2756	1.623e-14	MTAG 5e-8	no
0.029	0.4564	3.526e-09	MTAG 5e-8	no
0.0371	0.1839	1.236e-08	MTAG 5e-8	no
-0.0773	0.1095	4.352e-23	MTAG 5e-8	no
-0.0597	0.3744	1.288e-23	MTAG 5e-8	no
-0.0354	0.3339	8.033e-12	MTAG 5e-8	no
0.0422	0.4768	2.197e-17	MTAG 5e-8	no
0.0305	0.3371	7.869e-09	MTAG 5e-8	no
-0.0479	0.1225	1.25e-09	MTAG 5e-8	no
-0.0862	0.08888	4.859e-21	MTAG 5e-8	no
0.0374	0.1853	4.244e-09	MTAG 5e-8	no
-0.0359	0.3327	1.855e-12	MTAG 5e-8	no
0.0617	0.1707	4.218e-21	MTAG 5e-8	no
-0.0372	0.206	2.274e-09	MTAG 5e-8	no
0.044	0.1488	8.341e-11	MTAG 5e-8	no
-0.0814	0.03831	9.174e-09	MTAG 5e-8	no
0.0349	0.1764	2.151e-08	MTAG 5e-8	no
0.0317	0.4945	8.96e-11	MTAG 5e-8	no
-0.0381	0.2076	3.892e-09	MTAG 5e-8	no
-0.0596	0.1538	3.444e-18	MTAG 5e-8	no
-0.0371	0.3226	1.585e-12	MTAG 5e-8	no
-0.0355	0.2691	6.56e-10	MTAG 5e-8	no
-0.0542	0.09823	1.573e-09	MTAG 5e-8	no
0.0358	0.2021	1.553e-09	MTAG 5e-8	no
-0.0623	0.3603	2.423e-33	MTAG 5e-8	no
0.063	0.1923	3.467e-10	MTAG 5e-8	no
-0.0294	0.3357	2.123e-08	MTAG 5e-8	no
0.0527	0.1048	6.374e-11	MTAG 5e-8	no
0.0382	0.2347	2.52e-11	MTAG 5e-8	no
0.0287	0.387	1.922e-08	MTAG 5e-8	no
-0.0585	0.1602	6.692e-11	MTAG 5e-8	no
-0.1182	0.2754	9.938e-75	MTAG 5e-8	no
-0.055	0.39	1.169e-25	MTAG 5e-8	no
-0.0768	0.1107	2.353e-27	MTAG 5e-8	no
-0.0416	0.2586	1.03e-13	MTAG 5e-8	no
0.0298	0.3421	1.682e-08	MTAG 5e-8	no
0.0343	0.2085	2.242e-08	MTAG 5e-8	no
-0.0379	0.3521	1.046e-12	MTAG 5e-8	no
-0.0603	0.1536	1.555e-18	MTAG 5e-8	no
0.1738	0.01458	1.382e-11	MTAG 5e-8	no
0.0344	0.4732	1.991e-08	MTAG 5e-8	no
0.0584	0.4903	7.398e-33	MTAG 5e-8	no
-0.0418	0.3545	1.906e-15	MTAG 5e-8	no
-0.0586	0.1193	4.749e-13	MTAG 5e-8	no
0.0408	0.3271	3.144e-13	MTAG 5e-8	no
0.0471	0.2945	3.007e-15	MTAG 5e-8	no
-0.0989	0.2179	7.802e-58	MTAG 5e-8	no
-0.0317	0.3907	3.638e-08	MTAG 5e-8	no
-0.0309	0.3101	8.031e-09	MTAG 5e-8	no
-0.0551	0.0771	8.307e-09	MTAG 5e-8	no
0.0608	0.1538	8.88e-19	MTAG 5e-8	no
-0.0424	0.1347	1.89e-08	MTAG 5e-8	no
0.0632	0.4961	2.322e-17	MTAG 5e-8	no
0.049	0.1087	4.474e-10	MTAG 5e-8	no
-0.0374	0.3483	4.571e-13	MTAG 5e-8	no
0.0319	0.2553	1.414e-08	MTAG 5e-8	no
-0.0377	0.2753	2.318e-11	MTAG 5e-8	no
0.0697	0.0543	3.621e-10	MTAG 5e-8	no
-0.0454	0.0696	2.932e-08	MTAG 5e-8	no
-0.0399	0.2657	4.354e-13	MTAG 5e-8	no
0.0695	0.0674	1.377e-12	MTAG 5e-8	no
0.0833	0.07632	3.428e-17	MTAG 5e-8	no
0.0334	0.4161	8.128e-11	MTAG 5e-8	no
-0.0352	0.3709	2.023e-12	MTAG 5e-8	no
-0.0734	0.05244	2.919e-10	MTAG 5e-8	no
0.0644	0.06065	7.044e-12	MTAG 5e-8	no
-0.0609	0.1531	7.51e-19	MTAG 5e-8	no
-0.1027	0.12	9.04e-11	MTAG 5e-8	no
0.0302	0.4065	7.056e-09	MTAG 5e-8	no
-0.0605	0.1537	1.118e-18	MTAG 5e-8	no
-0.0407	0.3341	4.088e-14	MTAG 5e-8	no
0.0471	0.1772	3.673e-11	MTAG 5e-8	no
-0.0386	0.2211	4.072e-10	MTAG 5e-8	no
0.0606	0.1538	1.269e-18	MTAG 5e-8	no
-0.0345	0.2248	2.386e-08	MTAG 5e-8	no
0.0365	0.2221	2.442e-10	MTAG 5e-8	no
-0.0421	0.3677	6.166e-16	MTAG 5e-8	no
0.0669	0.04509	2.578e-09	MTAG 5e-8	no
0.0702	0.05017	4.627e-10	MTAG 5e-8	no
0.0677	0.184	1.48e-22	MTAG 5e-8	no
0.0273	0.419	3.978e-08	MTAG 5e-8	no
-0.0293	0.3786	1.93e-08	MTAG 5e-8	no
-0.0719	0.1509	1.26e-25	MTAG 5e-8	no
-0.03	0.3671	2.84e-09	MTAG 5e-8	no
-0.0528	0.2318	1.673e-18	MTAG 5e-8	no
-0.0294	0.4657	5.159e-09	MTAG 5e-8	no
0.0452	0.1213	1.684e-09	MTAG 5e-8	no
-0.0855	0.0413	1.779e-08	MTAG 5e-8	no
0.0329	0.333	2.381e-09	MTAG 5e-8	no
-0.0698	0.1372	4.73e-23	MTAG 5e-8	no
0.0798	0.1154	1.033e-23	MTAG 5e-8	no
-0.0382	0.1827	2.05e-08	MTAG 5e-8	no
0.0351	0.2179	1.113e-09	MTAG 5e-8	no
0.0304	0.276	4.232e-08	MTAG 5e-8	no
0.0963	0.02725	1.037e-09	MTAG 5e-8	no
-0.0989	0.03456	4.464e-09	MTAG 5e-8	no
-0.0504	0.2696	2.281e-18	MTAG 5e-8	no
0.0443	0.1416	2.373e-09	MTAG 5e-8	no
0.158	0.05878	2.044e-54	MTAG 5e-8	no
0.0607	0.4037	1.275e-31	MTAG 5e-8	no
0.038	0.1781	3.721e-09	MTAG 5e-8	no
0.052	0.436	1.642e-24	MTAG 5e-8	no
-0.0272	0.4367	4.823e-08	MTAG 5e-8	no
-0.0279	0.4588	1.168e-08	MTAG 5e-8	no
0.04	0.2262	3.357e-12	MTAG 5e-8	no
-0.0365	0.2112	2.908e-09	MTAG 5e-8	no
0.0452	0.1041	7.88e-09	MTAG 5e-8	no
0.0328	0.2705	1.04e-09	MTAG 5e-8	no
-0.0332	0.4277	2.405e-10	MTAG 5e-8	no
0.0612	0.1538	2.995e-19	MTAG 5e-8	no
-0.0328	0.3915	1.981e-10	MTAG 5e-8	no
-0.0342	0.4909	3.43e-11	MTAG 5e-8	no
-0.0291	0.3391	4.157e-08	MTAG 5e-8	no
-0.0876	0.2408	2.813e-53	MTAG 5e-8	no
-0.0609	0.1539	5.539e-19	MTAG 5e-8	no
-0.0395	0.476	2.082e-15	MTAG 5e-8	no
-0.0509	0.1376	2.34e-12	MTAG 5e-8	no
-0.0799	0.3353	4.578e-53	MTAG 5e-8	no
-0.0994	0.1376	1.313e-27	MTAG 5e-8	no
0.0718	0.1405	3.604e-23	MTAG 5e-8	no
-0.0584	0.09077	2.054e-09	MTAG 5e-8	no
-0.0678	0.1483	1.477e-12	MTAG 5e-8	no
0.0603	0.1674	1.354e-16	MTAG 5e-8	no
-0.0378	0.1706	2.977e-09	MTAG 5e-8	no
-0.0453	0.1548	3.691e-12	MTAG 5e-8	no
-0.031	0.4278	4.478e-10	MTAG 5e-8	no
0.0454	0.4336	3.354e-16	MTAG 5e-8	no
0.0493	0.1866	7.086e-15	MTAG 5e-8	no
-0.0595	0.131	7.366e-15	MTAG 5e-8	no
-0.0581	0.1318	2.312e-10	MTAG 5e-8	no
0.0776	0.04726	6.092e-10	MTAG 5e-8	no
0.1428	0.0129	4.959e-15	MTAG 5e-8	no
-0.0739	0.3862	2.113e-35	MTAG 5e-8	no
-0.0333	0.281	3.173e-08	MTAG 5e-8	no
-0.0318	0.2226	3.944e-08	MTAG 5e-8	no
0.081	0.1168	1.702e-24	MTAG 5e-8	no
-0.044	0.3533	2.4e-11	MTAG 5e-8	no
0.0381	0.3165	2.273e-13	MTAG 5e-8	no
0.0672	0.1463	1.854e-12	MTAG 5e-8	no
0.0988	0.03014	1.632e-09	MTAG 5e-8	no
0.1053	0.3176	1.494e-60	MTAG 5e-8	no
0.0526	0.2517	8.422e-20	MTAG 5e-8	no
0.0606	0.1423	5.004e-16	MTAG 5e-8	no
-0.065	0.2035	3.386e-26	MTAG 5e-8	no
0.0298	0.4734	7.111e-09	MTAG 5e-8	no
0.031	0.4233	2.838e-10	MTAG 5e-8	no
-0.0426	0.1368	1.227e-08	MTAG 5e-8	no
-0.0742	0.3869	1.262e-35	MTAG 5e-8	no
0.0336	0.3367	1.446e-08	MTAG 5e-8	no
0.0626	0.174	2.665e-15	MTAG 5e-8	no
-0.0326	0.2636	1.051e-08	MTAG 5e-8	no
-0.0537	0.2331	5.085e-21	MTAG 5e-8	no
-0.0287	0.3245	3.554e-08	MTAG 5e-8	no
-0.0582	0.206	4.402e-21	MTAG 5e-8	no
0.0344	0.4798	2.652e-12	MTAG 5e-8	no
-0.0459	0.2968	2.726e-15	MTAG 5e-8	no
0.0309	0.4618	3.2e-10	MTAG 5e-8	no
0.0443	0.4045	2.671e-18	MTAG 5e-8	no
0.0392	0.3061	1.385e-11	MTAG 5e-8	no
-0.0687	0.1232	9.346e-10	MTAG 5e-8	no
0.0444	0.4052	1.161e-17	MTAG 5e-8	no
-0.1979	0.009673	4.551e-09	MTAG 5e-8	no
-0.0395	0.1726	1.17e-09	MTAG 5e-8	no
-0.0612	0.1538	3.228e-19	MTAG 5e-8	no
-0.0422	0.1178	1.758e-08	MTAG 5e-8	no
0.107	0.0288	1.175e-09	MTAG 5e-8	no
-0.0585	0.3352	2.12e-31	MTAG 5e-8	no
0.0441	0.3034	8.91e-17	MTAG 5e-8	no
-0.0891	0.02266	1.91e-09	MTAG 5e-8	no
-0.0328	0.1986	4.053e-08	MTAG 5e-8	no
0.0608	0.1478	4.516e-15	MTAG 5e-8	no
0.045	0.1165	7.822e-10	MTAG 5e-8	no
0.0515	0.2038	7.161e-18	MTAG 5e-8	no
-0.3284	0.01052	3.412e-15	MTAG 5e-8	no
0.0701	0.2119	2.525e-09	MTAG 5e-8	no
0.0313	0.4259	2.288e-09	MTAG 5e-8	no
0.029	0.486	6.698e-09	MTAG 5e-8	no
-0.0413	0.1947	1.878e-11	MTAG 5e-8	no
-0.0638	0.1538	2.687e-12	MTAG 5e-8	no
0.0603	0.0714	1.868e-08	MTAG 5e-8	no
0.0548	0.3954	2.652e-26	MTAG 5e-8	no
0.08	0.06576	2.494e-14	MTAG 5e-8	no
0.1105	0.3372	2.436e-70	MTAG 5e-8	no
-0.0668	0.4662	2.99e-41	MTAG 5e-8	no
-0.0659	0.1664	1.072e-10	MTAG 5e-8	no
0.0411	0.1952	6.093e-11	MTAG 5e-8	no
-0.0677	0.1471	1.293e-12	MTAG 5e-8	no
0.0697	0.07039	1.828e-12	MTAG 5e-8	no
0.0284	0.3405	1.608e-08	MTAG 5e-8	no
0.0289	0.4372	3.441e-09	MTAG 5e-8	no
0.0417	0.2437	6.324e-13	MTAG 5e-8	no
0.0313	0.4932	4.187e-10	MTAG 5e-8	no
0.0373	0.2085	2.687e-10	MTAG 5e-8	no
-0.0437	0.1391	1.818e-08	MTAG 5e-8	no
-0.0407	0.1517	6.409e-10	MTAG 5e-8	no
0.0571	0.07434	4.973e-08	MTAG 5e-8	no
-0.0282	0.3702	3.279e-08	MTAG 5e-8	no
-0.0362	0.2085	2.098e-10	MTAG 5e-8	no
0.0361	0.2201	3.822e-10	MTAG 5e-8	no
-0.0403	0.4975	3.213e-16	MTAG 5e-8	no
0.0583	0.2597	1.231e-25	MTAG 5e-8	no
0.0785	0.04727	3.955e-10	MTAG 5e-8	no
-0.0489	0.3856	1.304e-19	MTAG 5e-8	no
-0.0442	0.3483	6.671e-18	MTAG 5e-8	no
0.031	0.3732	8.978e-09	MTAG 5e-8	no
0.0538	0.1118	3.344e-13	MTAG 5e-8	no
0.0288	0.4847	1.622e-08	MTAG 5e-8	no
