PROTEIN	CHR	START	TWAS.Z
ITLN1	1	160876540	 1.12440
DNAJB4	1	77979175	 0.08457
GBP2	1	89106132	-1.12363
GSTM4	1	109656099	 0.09759
AMY2A	1	103617427	 1.33196
GLUL	1	182378098	-0.88177
TSTD1	1	161037631	 1.33912
UROD	1	45010950	 0.86090
TXNDC12	1	52020131	 1.83497
DDAH1	1	85318481	-1.12798
PARK7	1	7954291	 1.10221
APCS	1	159587826	 2.63325
ROR1	1	63774017	-0.56249
EFNA4	1	155063737	 1.96491
PLA2G2A	1	19975431	-1.55750
TIE1	1	43300982	-0.23508
TGFBR3	1	91680343	-3.69353
TNFRSF1B	1	12166991	 1.88109
CTSS	1	150730079	 0.94565
NID1	1	235975830	 0.39237
PIGR	1	206928522	 0.27921
CD48	1	160678746	-0.39558
CD5L	1	157830911	-0.00252
CNTN2	1	205042937	-0.64755
FCGR2A	1	161505430	 1.13937
FCGR2B	1	161663147	 1.41086
LRP8	1	53242364	 0.38411
LY9	1	160796074	 0.25709
CA6	1	8945867	-0.55675
ECM1	1	150508062	-2.13567
REN	1	204154819	 0.31036
BCAN	1	156641390	-0.31003
CHIT1	1	203212827	-2.18150
MAPKAPK2	1	206684905	-0.20033
PGD	1	10398592	-2.31844
AKR7A2	1	19303965	 2.24116
AKR1A1	1	45550543	-2.22829
CRP	1	159712289	-0.77021
FCRL3	1	157674321	 0.79119
SELL	1	169690665	-2.45963
EPHA2	1	16124337	-0.42109
F5	1	169511951	-0.94134
DPT	1	168695468	 3.21803
PRDX6	1	173477330	-0.11158
CD55	1	207321532	 2.06475
EPHA10	1	37713880	-5.02215
IL23R	1	67138907	-0.97165
SLAMF6	1	160485030	-0.33214
PCSK9	1	55039447	-0.14681
PPIE	1	39692182	-0.63144
SHC1	1	154962298	 1.44679
LEPR	1	65420652	-0.52043
SLAMF7	1	160739057	 1.44236
GREM2	1	240489573	 0.13022
NTNG1	1	107140007	-0.89333
F13B	1	197038741	 2.29082
FCRL1	1	157794403	 0.08309
MENT	1	151047751	-3.48565
S100A12	1	153373711	 1.71840
GUCA2B	1	42153410	 1.50076
FMOD	1	203340628	 4.02843
VWA1	1	1434861	-1.31816
CFHR4	1	196888014	 1.55931
FAIM3	1	206903317	-0.51268
FCRL6	1	159800511	 0.49137
IGSF8	1	160091340	 2.29842
NEGR1	1	71395943	 0.36724
H6PD	1	9234774	-0.99385
IFNLR1	1	24154168	-0.43037
FAM20B	1	179025804	-0.10067
NPPB	1	11857464	-1.41745
FAM151A	1	54609181	 0.39142
S100A7	1	153457744	-1.26004
EPHB2	1	22710839	-2.34187
PEAR1	1	156893698	-1.43375
PEX14	1	10472288	 3.62555
PTPRU	1	29236516	 1.77006
GPX7	1	52602371	-0.79376
TNFRSF1B	1	12166991	 1.46330
HDGF	1	156742109	 1.11890
FCRL4	1	157573747	-0.98665
MAN1A2	1	117367449	-2.19769
TAGLN2	1	159918107	-0.00291
PPT1	1	40072710	 0.24587
MFAP2	1	16974502	-1.18934
CREG1	1	167529117	-0.67075
C4BPA	1	207104233	 0.29977
LAMC2	1	183186238	 2.52612
B4GALT2	1	43978943	-0.44283
IGSF3	1	116574399	 0.13565
GSTM3	1	109733932	-1.77418
CMPK1	1	47333790	 3.04063
AMPD2	1	109616104	 0.03839
CR1	1	207496147	-2.04913
FCGR3B	1	161623196	-1.24467
AGT	1	230690776	-1.00144
SELP	1	169588849	 0.86641
CFH	1	196652043	 1.29141
NFASC	1	204828651	-0.50588
AMY1A	1	103655760	-1.06854
UCMA	10	13221766	-1.3249
FGFBP3	10	91906584	-1.5221
PDLIM1	10	95237572	-0.2544
C10orf54	10	71747556	 0.8513
RGS10	10	119499817	-1.7996
GSTO1	10	104235356	 1.0304
PLEKHA1	10	122374696	-0.2883
ARL3	10	102673731	-1.6532
FAM213A	10	80407829	-4.4727
IL15RA	10	5943639	-1.8152
C10orf54	10	71747556	-0.0347
ANXA7	10	73375101	 0.5550
UNC5B	10	71212570	 0.4839
PNLIPRP2	10	116620953	-0.5505
HTRA1	10	122458551	-0.7934
AKR1C3	10	5035354	-0.0871
RBM17	10	6089034	-0.6502
ANXA11	10	80150889	-1.7092
SAR1A	10	70147289	 1.7538
NUDT5	10	12165330	-1.8173
NMT2	10	15102584	-0.7335
IDI2	10	1018910	 0.7016
ANXA7	10	73375101	 2.0816
AKR1C4	10	5195462	-0.8796
ADK	10	74151202	 0.1104
SRGN	10	69088103	-0.2193
SFTPD	10	79937467	-2.1369
MRC1	10	17809348	 0.3572
GDI2	10	5765223	 0.8733
MBL2	10	52765380	 0.3176
IL2RA	10	6010689	-1.3002
ASAH2	10	50182778	 0.5640
RET	10	43077064	 0.2886
GFRA1	10	116056925	 1.6750
IL15RA	10	5943639	-0.5609
CXCL12	10	44370165	-0.4162
DKK1	10	52314281	-0.4050
CDNF	10	14819245	 1.1380
PPIF	10	79347469	 0.1163
FAS	10	88990531	-0.2894
SPOCK2	10	72059034	-0.8518
NRP1	10	33177492	 1.8776
MINPP1	10	87504875	 1.5489
CRTAC1	10	97865000	-0.7947
ST8SIA6	10	17315421	-1.0281
VWA2	10	114239254	 1.9709
ENTPD1	10	95711779	-2.1766
LIPN	10	88759982	 0.8787
PRDX3	10	119167720	-1.3526
ITIH2	10	7703316	-0.7354
FAS	10	88990531	-0.2685
XPNPEP1	10	109864766	 2.6831
PLAU	10	73909177	-1.9250
ITIH5	10	7559270	-1.6692
CLMP	11	123069872	-0.5155
APLP2	11	130068147	 2.4930
SERPINH1	11	75562056	 0.4363
SMPD1	11	6390440	 0.3714
NTM	11	131370478	 0.7238
KIAA1549L	11	33376108	-3.8045
TALDO1	11	747415	-1.3764
CD59	11	33703010	-2.0342
HMBS	11	119084866	-0.3801
CBL	11	119206298	 1.9545
UBASH3B	11	122655722	-1.7401
TRIM3	11	6448613	 0.6785
ARRB1	11	75260122	-2.2599
SWAP70	11	9664077	 0.4808
AP2A2	11	924894	 1.0597
RELT	11	73376399	-0.4347
LDHA	11	18394560	 1.4134
CD248	11	66314494	 0.7239
FOLR3	11	72114869	-0.1727
SAA4	11	18231355	-1.1262
FOLR2	11	72216601	-1.4998
PDGFD	11	103907189	-0.7923
CALCB	11	14904997	-0.6140
APOA4	11	116820700	-1.7771
TPP1	11	6612768	 0.3678
PDHX	11	34915829	 0.4682
RDX	11	109864295	 2.4904
SAA2	11	18239223	-1.5865
CYB5R2	11	7665100	-0.8826
NAP1L4	11	2944431	 1.0220
LRP4	11	46856717	 6.5402
TCN1	11	59852800	 0.3200
LAYN	11	111540280	 0.1685
MMP7	11	102520508	-1.3434
JAM3	11	134069071	-2.7413
IL18BP	11	71998613	 2.1613
LYVE1	11	10556966	 1.3183
CNTN5	11	99020949	 0.2711
CADM1	11	115169218	-0.0380
CAT	11	34438934	-0.6823
DKK3	11	11956207	-0.6415
F2	11	46719196	 2.5995
SPON1	11	13962723	 0.9629
PCSK7	11	117204337	-2.1165
SERPING1	11	57597387	 2.9395
MMP12	11	102862736	-0.8212
NCAM1	11	112961247	-2.3476
CDON	11	125955796	-1.5961
GSTP1	11	67583742	-1.9226
MMP1	11	102789401	 1.4218
MMP13	11	102942995	-0.6675
F2	11	46719196	 8.3731
PRCP	11	82822936	-0.9599
CHRDL2	11	74696429	 0.1801
OAF	11	120211032	 3.6203
APOC3	11	116829706	-0.5263
NELL1	11	20669551	 1.1968
B3GAT3	11	62615296	 2.7390
LRRC32	11	76657524	-0.3913
C1QTNF5	11	119338942	-1.3556
ESAM	11	124752583	-1.5924
TMEM132A	11	60924460	-1.6752
FJX1	11	35618460	-0.9417
ADM	11	10305073	 1.4995
CRTAM	11	122838500	 0.0515
PTPRJ	11	47980558	 2.1393
MRVI1	11	10573091	 1.1447
KDELC2	11	108472112	 1.2948
NTM	11	131370478	 0.6648
MMP10	11	102770502	-0.8898
MMP8	11	102711796	 1.1377
CTSF	11	66563464	-0.8689
PDGFD	11	103907189	-2.9871
LRRC4C	11	40114203	-0.0800
ARHGAP1	11	46677080	-8.6687
TIRAP	11	126283065	 1.0519
CDHR5	11	616577	-2.7522
SAA1	11	18266260	-1.5070
ENO2	12	6913745	-3.77276
TMED2	12	123584533	 0.43324
CLEC12A	12	9951316	 0.00673
SELPLG	12	108621895	 0.45110
RECQL	12	21468910	-2.36938
TESC	12	117038923	 1.60913
LUM	12	91102629	-1.60110
TMEM132D	12	129071725	-0.31502
ARHGEF25	12	57610180	 1.59002
GPD1	12	50103982	 2.33960
IGFBP6	12	53097436	-1.05656
PIANP	12	6693791	-1.76376
AMIGO2	12	47075707	-1.47877
EIF4B	12	53006282	-0.03276
INHBC	12	57434784	 0.02690
LGR5	12	71439798	-2.69014
ACVRL1	12	51906908	 2.04020
PFKM	12	48105139	-0.03636
RAB21	12	71754863	-0.67636
FKBP4	12	2794970	 0.56244
HEBP1	12	12974870	-0.96310
COL2A1	12	47972967	-0.25733
USP15	12	62260338	-1.22455
ERBB3	12	56076799	-1.18199
TNFRSF1A	12	6328757	 0.16431
CNTN1	12	40692439	-0.17224
LRIG3	12	58872149	-1.43165
NTN4	12	95657807	-0.41738
NTF3	12	5432108	 0.77336
PEBP1	12	118136124	 0.83859
CLEC1B	12	9985642	 0.72511
PLXNC1	12	94148577	 0.99053
TAPBPL	12	6451690	 0.19181
HSP90B1	12	103930107	 2.21777
INHBC	12	57434784	 1.24844
MMP19	12	55835433	-2.20253
PMEL	12	55954105	 1.13517
MGP	12	14880864	 0.62959
TMEM132C	12	128267170	-1.32551
CHST11	12	104455295	 0.73726
GXYLT1	12	42081845	 0.94213
TMEM132B	12	125186386	-1.82372
C1RL	12	7089587	-1.98800
CPM	12	68842197	 1.14316
MANSC1	12	12326056	-0.34148
MANSC4	12	27762427	 0.74890
PIANP	12	6693791	-2.13732
KRT1	12	52674736	-0.86987
LAG3	12	6772512	 0.11617
ART4	12	14825569	 0.41447
PCDH9	13	66302834	-0.93988
EFNB2	13	106489745	 2.54503
KL	13	33016423	 1.20095
GAS6	13	113820549	 1.49428
C1QTNF9	13	24307166	 0.71962
SLITRK6	13	85792790	-0.36745
DCLK1	13	35768652	 2.39677
HS6ST3	13	96090107	 0.57049
TNFSF13B	13	108251240	 0.92419
F10	13	113122799	 0.41025
F7	13	113105788	-2.85968
POSTN	13	37562583	 0.00298
CPB2	13	46053186	 0.15418
SLITRK5	13	87671371	 0.82349
F10	13	113122799	 0.22775
ESD	13	46771256	-0.18952
GPC5	13	91398621	-0.01890
THSD1	13	52377167	-0.89286
MTIF3	13	27435643	-0.33937
FREM2	13	38687077	 2.56286
PYGL	14	50857891	-0.9794
EVL	14	99971449	 0.7987
MAX	14	65006174	 2.5525
PPM1A	14	60245752	-3.3671
AP1G2	14	23559565	 0.0863
SMOC1	14	69854131	 2.5632
SERPINA10	14	94280460	-0.3126
FLRT2	14	85530144	-2.7866
GNPNAT1	14	52775193	-4.9996
ADSSL1	14	104724229	-0.5555
PNP	14	20468954	-0.2168
RNASE3	14	20891385	 0.2844
FBLN5	14	91869411	-2.5679
AKT1	14	104769349	-0.2321
NID2	14	52004803	-1.3404
ATXN3	14	92044496	 1.8150
TCL1A	14	95709947	 2.2681
PSME2	14	24143362	 1.9993
DTD2	14	31446036	 0.7145
GMPR2	14	24232422	-0.8248
IGHG1|IGHG2|IGHG3|IGHG4|IGK@|IGL@	14	105736343	 0.3870
SERPINA3	14	94612384	 1.5556
LGALS3	14	55124110	 0.0578
SERPINA5	14	94561442	-0.4722
SERPINA4	14	94561442	 0.0337
SERPINA1	14	94376747	 1.6298
LGMN	14	92703807	-0.0940
SERPINA3	14	94612384	 0.9539
ENTPD5	14	73958010	-0.5916
ANG	14	20684177	 0.4709
RNASE4	14	20684560	 1.7544
RNASE6	14	20781268	 1.8604
DLK1	14	100725705	-0.0592
DLK1	14	100725705	 0.1339
SERPINA12	14	94487274	 0.0799
ERO1L	14	52639915	-0.9689
RNASE1	14	20801228	-1.5943
COCH	14	30874514	 0.6808
SERPINA9	14	94462717	-0.0844
FAM177A1	14	35044907	 0.0495
FUT8	14	65410592	 1.5324
RNASE2	14	20955487	 0.1007
CHGA	14	92923150	-0.7792
GALNT16	14	69259277	 1.5013
VTI1B	14	67647085	-1.4754
SERPINA11	14	94442464	 0.0147
ACTN1	14	68874128	-0.1042
APEX1	14	20455191	 1.0038
WARS	14	100333790	-0.4621
MTHFD1	14	64388031	 3.8776
GSTZ1	14	77320996	 1.2705
MDGA2	14	46839629	-0.2779
FAH	15	80152490	-2.2845
ISLR2	15	74100311	-0.9752
ANXA2	15	60347134	-1.5462
MTHFS	15	79833585	 1.8412
MESDC2	15	80946289	-0.8618
SORD	15	45023147	 2.8630
ANPEP	15	89784895	-0.0678
STARD5	15	81309053	-1.7245
SNUPN	15	75598083	-1.2588
GREM1	15	32718004	 1.1897
TYRO3	15	41557675	-0.0603
NTRK3	15	87859751	-0.5509
IL16	15	81159575	-1.9675
SPINT1	15	40844018	-0.5313
ACAN	15	88803436	-0.5190
DLL4	15	40929340	-1.8768
CSK	15	74782080	-2.9599
IGF1R	15	98648539	 0.2475
MFGE8	15	88898683	 0.5849
FGF7	15	49423237	 2.5681
ANXA2	15	60347134	-0.8663
LINGO1	15	77613027	-1.0567
SEMA7A	15	74409289	-8.4406
GLCE	15	69160584	-1.4563
SCG3	15	51681492	 0.6914
CTSH	15	78921058	-1.5288
NEO1	15	73051710	 0.0664
DNAJA4	15	78264086	 0.1536
DUT	15	48331011	-1.4219
RGMA	15	93035273	-2.1381
PLCG2	16	81739097	 1.3316
APRT	16	88809339	-1.6542
GNPTG	16	1351931	-0.5075
SRL	16	4189374	 1.3511
NAGPA	16	5024844	-0.0220
VPS4A	16	69311350	-1.9392
GABARAPL2	16	75566375	-0.3414
NMRAL1	16	4461691	 1.9434
TXNL4B	16	72044289	 1.3644
CES1	16	55802851	-0.1212
PRSS8	16	31131433	-0.0129
PRSS27	16	2712419	 0.7968
NME4	16	396725	-2.0092
PMM2	16	8788823	-0.7364
FAHD1	16	1826941	-0.4393
PGP	16	2211593	 3.1219
DDX19A	16	70346861	 2.0619
CHST4	16	71525233	 0.5228
GPR56	16	57610652	-1.2028
MTHFSD	16	86530178	-0.1589
HAGH	16	1795620	 0.0224
TNFRSF17	16	11965210	-1.8196
AGRP	16	67482571	 1.6321
CX3CL1	16	57372477	-1.5871
MAPK3	16	30114105	 0.0868
HP	16	72054505	 0.9378
TPSB2	16	1227272	-1.3199
CCL22	16	57358783	 1.0110
CCL17	16	57404767	-1.3944
MMP2	16	55389700	 0.0221
PRSS22	16	2852730	-0.4322
PRKCB	16	23835983	-0.1477
CTRB2	16	75204103	-0.4382
CTRB1	16	75218988	-0.2341
VASN	16	4371848	-2.8105
CRISPLD2	16	84819985	-1.2245
HBZ	16	142728	-1.7448
HP	16	72054505	 0.2158
DPEP2	16	67987394	 0.7996
DPEP1	16	89613308	 3.6943
CBLN1	16	49277917	-0.6643
WFDC1	16	84294846	-1.5936
TPSAB1	16	1240379	-1.0289
NQO1	16	69706996	-4.1389
NPW	16	2009926	-5.2686
STAT3	17	42313324	 2.8638
ACE	17	63477061	 0.4763
STX8	17	9250471	-0.4254
CYB5D2	17	4143168	-3.4527
SPATA20	17	50543058	 1.5313
ALDH3A1	17	19737984	-0.6013
DYNLL2	17	58083419	-1.5956
SHMT1	17	18327860	-0.2998
TAX1BP3	17	3662895	-0.7002
SAT2	17	7626234	-0.3033
CALCOCO2	17	48831018	-0.0928
NT5C	17	75130225	-0.6068
MAP3K3	17	63622415	 2.3253
SECTM1	17	82321024	-0.3130
CHAD	17	50464496	-0.1855
CA10	17	51630313	 0.0201
CCL8	17	34319435	-1.2941
NAGLU	17	42536241	-1.5621
HEXIM1	17	45148475	 1.0913
ENO3	17	4948092	 2.8963
ENGASE	17	79074824	-1.3007
OVCA2	17	2042022	-2.2631
CD68	17	7579491	-1.7762
ACADVL	17	7217125	 2.0028
CXCL16	17	4733533	 0.0356
MPO	17	58269855	 0.3474
PRKCA	17	66302613	-0.6487
SERPINF2	17	1742836	 1.5763
MRC2	17	62627670	-0.4542
WFIKKN2	17	50834650	-0.0898
PYY	17	43952738	-2.2773
NME2	17	51165435	-2.8795
P4HB	17	81843159	-4.6361
SPHK1	17	76376584	 1.3302
CCL7	17	34270221	-1.3249
SHBG	17	7613946	 0.9251
CRK	17	1420689	 0.9746
GP1BA	17	4932277	-2.7764
GRN	17	44345246	-0.1575
LGALS3BP	17	78971238	 0.0459
CD300C	17	74541073	-0.2989
SCARF1	17	1633858	-0.0768
ASGR1	17	7173431	-0.0526
CD300A	17	74466399	-0.0812
MFAP4	17	19383442	 0.3470
C1QL1	17	44959693	 1.5927
FAM20A	17	68535113	-0.2021
CNP	17	41966763	 4.5110
NTN1	17	9021510	-0.2590
HS3ST3B1	17	14301081	 1.7342
ATP1B2	17	7646627	 2.3656
ST6GALNAC2	17	76565377	-1.9592
ENTHD2	17	81228277	-0.1914
GLTPD2	17	4788964	 0.2718
MXRA7	17	76672551	-0.8941
NOTUM	17	81952507	 1.9002
HS3ST3A1	17	13494032	 0.3730
APOH	17	66212033	 0.8718
FASN	17	82078338	-4.5696
NOG	17	56593699	 0.9113
LGALS9	17	27629798	 2.2702
SERPINF1	17	1762029	-3.9002
NPTX1	17	80466834	 0.2166
GAA	17	80101556	-0.5742
NLGN2	17	7404874	 1.0798
ALDOC	17	28573115	 2.1549
ENPP7	17	79730943	 1.4620
B4GALT6	18	31622246	-0.5787
SIGLEC15	18	45825675	1.3988
CHST9	18	26906481	-1.7889
DSC2	18	31058840	-2.2419
HDHD2	18	47107408	-0.8066
NETO1	18	72742314	0.9084
ZADH2	18	75195113	-1.5122
NAPG	18	10525905	-0.6835
SERPINB13	18	63586989	0.2966
SERPINB8	18	63970029	0.0241
COLEC12	18	316737	-0.9909
DSG2	18	31498177	-0.093
CNDP1	18	74534500	-1.5015
SIGLEC12	19	51491227	 0.7001
TMEM190	19	55376826	-4.0102
NUCB1	19	48900312	 1.6017
CLEC4G	19	7728958	-0.0784
EBI3	19	4229523	 1.7161
PLD3	19	40348456	 0.0113
KLK13	19	51055626	 0.1677
SARS2	19	38915266	 1.0362
PDCD5	19	32581190	-0.5785
ECH1	19	38815422	 1.0337
GMFG	19	39328353	 0.7918
LYPD3	19	43460787	-3.1372
LTBP4	19	40592883	 0.6117
HMHA1	19	1065923	-1.4005
PNKP	19	49859882	 0.1841
ELANE	19	851014	 7.1587
PAK4	19	39125770	-2.3401
PRTN3	19	840999	-2.8856
CRLF1	19	18572220	 0.5063
APOC1	19	44914247	-4.0422
PIN1	19	9835257	 0.1917
KLK14	19	51077495	 1.6290
MUC16	19	8848844	-0.0484
NCAN	19	19211958	-2.2884
A1BG	19	58345178	-0.2824
SIGLEC5	19	51611927	-0.1533
RCN3	19	49528003	 0.4852
BLVRB	19	40447765	 1.2087
IRF3	19	49659569	-0.7315
KIR2DL3	19	54738513	 0.0184
TRIP10	19	6737925	-0.2784
TBCB	19	36114289	 0.8532
PGLS	19	17511636	 1.2483
SEPW1	19	47778585	 0.2924
CD97	19	14380501	 0.6420
BCAT2	19	48795062	-1.1590
OLFM2	19	9853718	 0.1244
PLAUR	19	43646095	 0.0200
C3	19	6677704	-2.0885
MIA	19	40771648	 0.0786
CCL25	19	8052318	-1.4013
SIGLEC6	19	51517819	-0.5132
SIGLEC7	19	51142299	-0.4409
C3	19	6677704	-1.8580
BCAM	19	44809071	 0.5503
KLK11	19	51022216	-1.9407
KLK8	19	50996007	-0.5184
SPINT2	19	38244035	 1.9372
APOE	19	44905791	 0.1371
CFD	19	859664	 1.9759
CLEC11A	19	50723364	-0.3865
LGALS4	19	38801671	-2.7929
SIGLEC9	19	51124906	-1.8048
CD209	19	7739993	-0.6911
RETN	19	7669049	-0.7826
CD33	19	51225064	-1.1950
GP6	19	55013705	 0.0860
ACP5	19	11574660	 0.9824
FCER2	19	7688758	-0.8946
PGLYRP1	19	46019153	 1.6039
KLK7	19	50976468	 0.2604
NAPA	19	47487637	-1.5671
ICAM1	19	10271093	 0.4617
GDF15	19	18374731	-0.5310
CLEC11A	19	50723364	-0.3359
ADGRE2	19	14732392	-0.0768
LILRB2	19	54273812	 1.4440
NOTCH3	19	15159038	-1.2141
SEMA6B	19	4542593	-1.7517
ICAM5	19	10289952	-0.5311
IL27RA	19	14031762	-0.6137
VAV1	19	6772708	-0.0372
TNFSF14	19	6661253	-0.2979
PGLYRP2	19	15468645	 0.7564
PSG4	19	43192702	 0.9948
PRKCSH	19	11435284	-0.1332
C3	19	6677704	-1.6906
DMKN	19	35497220	 0.3805
PTPRS	19	5158495	-0.3992
KLK10	19	51012739	-0.1476
PVRL2	19	44846175	-1.9228
LONP1	19	5691834	-0.9337
PSG3	19	42721638	 0.2378
IGLON5	19	51311644	 0.6635
KLK15	19	50825289	-0.5190
IGFLR1	19	35738801	-2.0636
COMP	19	18782773	 1.2757
ICAM5	19	10289952	-0.4932
SIGLEC14	19	51642553	-0.5787
LILRA4	19	54333185	 0.0926
PRSS57	19	685546	-0.9554
NCR1	19	54906148	 0.2234
LILRA5	19	54307070	-0.1503
QPCTL	19	45692403	 0.6370
B3GNT8	19	41425359	 1.0826
ADCK4	19	40691514	-0.7425
CD177	19	43353686	-0.6935
KIRREL2	19	35855861	 0.7458
FUT3	19	5842888	-0.7514
FUT5	19	5865826	-0.8010
KIR2DL4	19	54803535	-0.5954
SFTPB	2	85657314	 1.2396
GALNT13	2	153871922	-0.8319
PLA2R1	2	159932006	-2.9014
COL6A3	2	237324003	-0.1143
FABP1	2	88122982	 0.3025
FKBP1B	2	24049701	-1.3030
AGFG1	2	227472152	-0.2423
HIBCH	2	190189735	 0.5322
VPS24	2	86503430	-0.5752
GCA	2	162318840	 0.2961
DARS	2	135905881	 0.6372
ACYP2	2	53970838	-0.9054
REG1A	2	79120362	-0.3175
PXDN	2	1631887	 2.7913
NCK2	2	105744912	 0.2503
INHBB	2	120346136	 0.8278
FRZB	2	182833275	 1.9497
LANCL1	2	210431249	 0.7358
IL18R1	2	102311529	-1.3308
IL1R2	2	101991960	-0.5961
REG3A	2	79157003	-0.6595
NRP2	2	205681990	-1.1460
CD8A	2	86784610	 0.0420
REG3G	2	79025686	-0.2360
EPHA4	2	221418027	-0.0694
LY75	2	159803355	 2.1830
REG1B	2	79085023	-0.1103
DBI	2	119366924	-0.8355
UGT1A1	2	233760270	-0.7628
TP53I3	2	24077433	 1.3185
CNRIP1	2	68284171	 0.0290
HSPC159	2	64453969	-0.3424
IDH1	2	208236229	-0.6406
SERPINE2	2	223975045	 0.2097
STAMBP	2	73828916	-0.3094
MATN3	2	19992052	-0.5285
DTYMK	2	241675747	 1.7369
IHH	2	219054424	 0.3509
PROC	2	127418427	 2.0456
EDAR	2	108894471	 1.3196
IL1R1	2	102064544	 2.1100
IL1RL2	2	102187006	-0.5814
GNLY	2	85685175	 2.5755
FN1	2	215360440	 0.3074
ACP1	2	264140	-1.1160
NAGK	2	71064344	-1.7225
IL1RL1	2	102311502	-0.4783
COLEC11	2	3594832	 1.3138
KYNU	2	142877657	-0.9747
CAPG	2	85394753	-0.4115
TNFAIP6	2	151357592	-0.9115
IL1RN	2	113107214	 2.6063
HS6ST1	2	128236716	 0.2554
VIT	2	36696690	-1.8227
GKN2	2	68945232	 1.2862
PCYOX1	2	70257386	-0.9637
ALPPL2	2	232406844	 2.0935
ADAM23	2	206443532	-1.2928
ALPP	2	232378724	 1.2893
QPCT	2	37342827	-0.2882
PLEK	2	68365282	 0.9421
UGT1A6	2	233691607	-1.1295
B3GNT2	2	62196115	 0.1420
LMAN2L	2	96705929	-1.1805
UXS1	2	106093308	 0.3026
DNAJC10	2	182716255	-3.7311
IGFBP2	2	216632828	 0.0281
EFEMP1	2	55865967	-2.6676
PKDCC	2	42048021	 3.0575
GPC1	2	240435663	-0.0625
FAM171B	2	186694060	 0.4334
ERLEC1	2	53787044	-4.1840
LCT	2	135787850	-2.6518
FKBP7	2	178463664	-1.8350
TRABD2A	2	84821650	 0.1829
DNER	2	229357629	 1.4621
DUSP28	2	240560054	 0.6022
ARHGAP25	2	68679601	-1.8062
ANXA4	2	69644425	 0.6678
APMAP	20	24962925	-1.1403
GNRH2	20	3043622	0.1842
PLCB1	20	8077251	1.7596
WFDC2	20	45469753	1.6778
MAPRE1	20	32819954	-1.2847
FLRT3	20	14322985	0.6368
CST4	20	23685640	0.526
YWHAB	20	44885702	1.3166
BPIFB1	20	33273480	-0.2199
PLTP	20	45898621	-2.2391
ATRN	20	3471018	-2.4224
GSS	20	34928432	1.0389
PCK1	20	57561080	-1.7808
ITPA	20	3208868	-0.3344
DTD1	20	18587942	-1.6618
MMP9	20	46008908	1.0784
CST3	20	23626706	-0.5596
LBP	20	38346482	0.6338
CST7	20	24949269	1.4613
CST5	20	23875934	0.6616
BPI	20	38304150	0.1491
NSFL1C	20	1442162	-0.409
CST2	20	23823769	0.4544
SLPI	20	45252239	0.5108
PLCG1	20	41136960	-3.1882
CTSZ	20	58985686	0.1596
JAG1	20	10637684	-0.394
CPNE1	20	35626031	0.3318
SIRPA	20	1894167	1.535
CST1	20	23747562	1.7616
